# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT v_vE
15200000 -365.275 845.688 275.18 480.413
15300000 -360.28 840.826 273.598 480.546
15400000 -364.064 844.64 274.839 480.576
15500000 -350.312 831.251 270.483 480.939
15600000 -354.491 835.642 271.911 481.15
15700000 -356.08 837.247 272.434 481.167
15800000 -362.489 843.77 274.556 481.281
15900000 -360.65 841.882 273.942 481.232
16000000 -350.884 831.944 270.708 481.061
16100000 -366.061 847.14 275.653 481.079
16200000 -370.258 851.435 277.05 481.177
16300000 -363.432 844.564 274.815 481.132
16400000 -367.068 847.98 275.926 480.912
16500000 -361.808 842.646 274.19 480.838
16600000 -363.202 843.943 274.613 480.741
16700000 -369.868 850.521 276.753 480.653
16800000 -355.787 836.245 272.108 480.459
16900000 -354.618 834.97 271.693 480.353
17000000 -372.511 852.781 277.488 480.27
17100000 -359.985 840.613 273.529 480.628
17200000 -351.438 832.18 270.785 480.743
17300000 -360.853 841.568 273.84 480.716
17400000 -369.174 849.947 276.566 480.773
17500000 -344.1 824.824 268.391 480.724
17600000 -351.755 832.501 270.889 480.746
17700000 -356.776 837.344 272.465 480.568
17800000 -360.456 840.844 273.604 480.388
17900000 -347.838 828.14 269.47 480.302
18000000 -360.992 841.298 273.752 480.306
18100000 -359.969 840.311 273.431 480.342
18200000 -358.122 838.472 272.832 480.349
18300000 -358.823 839.144 273.051 480.321
18400000 -354.775 834.987 271.698 480.212
18500000 -367.1 847.228 275.681 480.128
18600000 -353.513 833.459 271.201 479.945
18700000 -358.547 838.413 272.813 479.866
18800000 -369.753 849.54 276.434 479.787
18900000 -359.885 839.625 273.207 479.74
19000000 -365.201 844.964 274.945 479.763
19100000 -378.17 857.885 279.149 479.715
19200000 -366.462 846.322 275.387 479.86
19300000 -358.205 838.125 272.719 479.92
19400000 -373.684 853.542 277.736 479.857
19500000 -362.222 841.921 273.954 479.699
19600000 -361.285 840.861 273.609 479.575
19700000 -355.893 835.458 271.851 479.565
19800000 -354.925 834.479 271.533 479.554
19900000 -377.404 857.128 278.903 479.724
20000000 -355.518 835.273 271.791 479.754
20100000 -364.742 844.3 274.728 479.558
20200000 -354.974 834.447 271.522 479.473
20300000 -359.113 838.676 272.899 479.564
20400000 -356.236 835.789 271.959 479.552
20500000 -378.159 857.774 279.113 479.615
20600000 -359.965 839.551 273.183 479.586
20700000 -364.293 844.048 274.647 479.755
20800000 -371.917 851.932 277.212 480.015
20900000 -354.367 834.349 271.491 479.983
21000000 -359.192 838.909 272.974 479.717
21100000 -349.917 829.674 269.969 479.757
21200000 -362.193 841.97 273.971 479.777
21300000 -361.727 841.419 273.791 479.692
21400000 -360.79 840.351 273.443 479.561
21500000 -354.652 834.213 271.446 479.561
21600000 -360.334 839.879 273.29 479.545
21700000 -366.378 846.029 275.291 479.65
21800000 -366.585 846.328 275.389 479.743
