time_ns,Rg,RMSD
0.0,172.01308089793636,163.43579677313883
0.5,58.957043465431774,48.73874893659641
1.0,42.70891427697706,35.06423998953053
1.5,40.3408602279664,33.32349026955269
2.0,30.476442366473602,30.96764876916537
2.5,31.59344182188371,29.981972249995486
3.0,29.399638882400605,28.595121796471826
3.5,30.641526625896304,25.545377731578224
4.0,36.15778706020983,28.750355091478763
4.5,39.99477460503352,29.952953108110723
5.0,32.49198861296683,30.151901222005087
5.5,28.76155496652772,27.57350606369336
6.0,27.29015327744867,24.582208009933453
6.5,29.961899631127174,25.570178009920816
7.0,28.69456044010595,25.16117027816556
7.5,30.864601550697163,26.464521150394518
8.0,28.735694055684366,29.63306946815151
8.5,30.95263767934296,23.42890762929123
9.0,31.878074998037903,25.37473963415029
9.5,59.72986340839158,49.36274464210402
10.0,47.393234838619776,34.68718003143297
10.5,35.37641686779235,24.312111250094578
11.0,31.397538595914998,23.614969143275193
11.5,38.72062194218285,28.345475220939846
12.0,33.108482100810726,21.813415876972996
12.5,40.63929536148108,32.639495488236754
13.0,42.81780863449425,33.59607105908857
13.5,48.826908238534834,38.67812544420512
14.0,29.28526923768293,26.38747330122672
14.5,40.46786654552272,31.16282332062087
15.0,36.71456716525252,29.154832648088387
15.5,30.09132363013313,25.725767056818324
16.0,27.82765493193802,28.360770864479086
16.5,37.116356264680014,33.05148171122019
17.0,31.654252889076865,27.75848593072222
17.5,26.864388256505652,26.910930956386057
18.0,26.40404686354567,27.617769699693437
18.5,30.847040168989768,28.562247835399653
19.0,31.30903022625054,25.581893088939587
19.5,33.71380855192744,26.833655695795382
20.0,31.363414667278512,25.00479548313334
20.5,28.946993802053417,26.652256508608076
21.0,30.636054635908796,27.86871898944543
21.5,31.668522233671656,26.845869947133355
22.0,29.546482837978953,25.10273354879785
22.5,28.78141255733311,24.85957294361003
23.0,34.91325309303025,29.62328709153154
23.5,33.571492090779266,26.02872429006489
24.0,29.925964733047582,27.154076025281565
24.5,36.573843326940064,29.421694372086588
25.0,28.56262572254621,25.391508918008718
25.5,31.288704051714276,25.293170461195448
26.0,34.0844031319334,27.134798268047994
26.5,36.00915803753674,29.43660367216936
27.0,41.61390259205079,32.61667712050122
27.5,31.04823098061127,26.203164722009596
28.0,37.02511857909836,28.45018406620618
28.5,28.699630332753628,24.56472590629107
29.0,28.369115889844263,28.717819800031503
29.5,28.906465295209784,24.58711126157818
30.0,32.51259389690515,28.37907660307824
30.5,33.525640278792906,30.509443418705448
31.0,35.83068314642359,28.58242682747521
31.5,34.614284758708216,27.272628856408538
32.0,25.1011772950152,29.14862159743585
32.5,33.04292565107385,27.254006646130286
33.0,30.03668132409894,26.00249001416825
33.5,35.71169752987683,27.11020279675687
34.0,26.55437572401043,24.452068588186695
34.5,30.14962078776421,26.857981158166496
35.0,34.109890894356106,27.810364258255106
35.5,26.19252859136954,26.56750690240566
36.0,31.397555125376932,25.877143959186917
36.5,28.1963083449528,25.2652590001277
37.0,36.00384898633207,31.16584065755849
37.5,28.582183363398556,27.26634706301805
38.0,31.408644315833616,25.015009705292595
38.5,32.10797674682766,26.966534951168228
39.0,28.593521110001323,21.689587374731
39.5,29.728395774619564,26.867104049257943
40.0,31.04224481879272,25.89829371981812
40.5,36.042710451427254,29.523759447858556
41.0,27.096920820961433,23.847454466608838
41.5,30.4865677721393,26.899093181011533
42.0,29.322751796175403,27.988377082684288
42.5,32.889511763347436,31.64087354836199
43.0,37.39388503715963,28.844452452803267
43.5,39.04912256510496,31.36688769965167
44.0,39.70887098325546,30.31154326330743
44.5,51.8634373447955,40.31150373735228
45.0,38.37270299988207,28.581460497901954
45.5,57.9744962073175,47.83025332128475
46.0,42.47073780614661,32.239191210729096
46.5,50.049439338119555,41.742116584723234
47.0,42.00913486054431,35.34950204331557
47.5,49.10940257639518,39.30238350381092
48.0,54.39769581956927,41.812156884836284
48.5,37.41854342571013,33.76532459547062
49.0,62.07116290868493,51.363283298300395
49.5,65.94664663720985,57.93421780833303
50.0,35.2106913855347,31.012437106523926
50.5,44.12255410716692,34.43623607364014
51.0,71.40381967981332,61.03750658623964
51.5,57.466355904445116,48.962136845746734
52.0,68.39350412249787,57.81475285832107
52.5,31.806235308574596,25.56511919702905
53.0,52.54462277711788,43.286199778230944
53.5,39.044858847880256,29.67843386767808
54.0,38.57319043564764,26.843296284952334
54.5,39.321311320882046,26.586011636925075
55.0,40.67436942888555,32.7579225752259
55.5,66.65199351677893,57.27371777819441
56.0,50.68959068779665,41.60839221234535
56.5,51.10659122894993,43.599215233328884
57.0,43.16526169413114,37.76425067012903
57.5,57.49314035087321,45.911796057004366
58.0,52.531066875452055,48.21701054677756
58.5,45.810556505258916,39.73448988457352
59.0,58.77124463459699,53.948075414852575
59.5,57.902448883420924,48.349815718167875
60.0,34.5520607517029,30.17926694105911
60.5,47.50930588871267,43.26054972519378
61.0,65.07132860689627,56.395417755154874
61.5,45.155534583794065,39.46316533051666
62.0,40.07617502696612,38.14248611513325
62.5,46.99238909083499,43.772142240163696
63.0,45.489644676985996,36.844551313996085
63.5,61.94608519525711,49.01273537819794
64.0,48.82773449593434,45.04035011601
64.5,46.7471577550096,42.79936628103264
65.0,44.571681133241015,38.90477513623921
65.5,39.866665636691444,29.61246745227693
66.0,38.78209278844192,34.57564163890814
66.5,51.181359774765895,48.35459706432262
67.0,52.52475376450465,50.234716149744465
67.5,38.34662512086692,36.66253073992374
68.0,46.09472988931175,43.58013588342646
68.5,47.6503647188108,47.50002883113486
69.0,43.19878057223537,43.429467638039256
69.5,34.694584421904274,36.472027968855855
70.0,41.435082551559425,41.36193986044002
70.5,42.71059478726353,42.93044045082869
71.0,36.667248501259806,34.97479921712479
71.5,32.86335716782668,36.25288457554081
72.0,44.335327274502696,44.37363430509848
72.5,40.09348424541161,42.39504230885271
73.0,57.20407670547963,55.773249509762
73.5,49.53758829100445,50.429178287007325
74.0,41.12976051557729,40.54144350473733
74.5,40.17051698499327,33.802913764157665
75.0,55.2352879672884,52.019883485767075
75.5,52.28266815301899,48.00736941740143
76.0,36.75948317155852,33.63562806266973
76.5,34.11982195498934,34.90919215189682
77.0,49.272059752284775,43.174197202953614
77.5,47.92784117350366,44.68892269245329
78.0,30.91467585315392,26.1262203543268
78.5,38.4832282763893,42.191491741402196
79.0,47.85179283790098,45.108714464497396
79.5,42.62461000257918,41.088281683909045
80.0,41.416925594910346,38.08324246057055
80.5,50.23594967335627,45.39527822298733
81.0,36.8208099290735,35.91478336494504
81.5,35.3840045204184,35.12041975658831
82.0,43.958811935351164,39.27035499527169
82.5,35.44607615078717,31.05405650262326
83.0,51.19972102055717,47.586777902563426
83.5,42.56963671205676,40.79903958223619
84.0,64.99438420294486,59.4665819375994
84.5,78.31182074534304,66.53192063018005
85.0,78.78258750037965,74.23860771862371
85.5,44.45794039082928,44.71017826867594
86.0,57.2516315058442,52.40354899007506
86.5,55.46340523839806,47.904511508072005
87.0,40.097360117759536,39.60674404073895
87.5,43.75392778619914,33.921798835520775
88.0,64.92281920342535,59.22713202249375
88.5,48.505895499499964,44.851856636343896
89.0,76.69485760072861,64.05298307148702
89.5,48.32559938455885,42.0597032324092
90.0,55.85111820208519,54.615620138028966
90.5,74.57014811132512,68.71700422949517
91.0,89.62831980412153,79.03405093436145
91.5,96.78325246687899,89.99927976165799
92.0,85.87380923373166,81.81615477216944
92.5,86.75447171635906,78.2343030998768
93.0,63.010269346971725,56.31080154280763
93.5,83.7239603744236,74.62549028528443
94.0,58.52339829617326,50.57447251421471
94.5,60.443441118038486,54.81477611918651
95.0,47.09369322516865,42.22374280549228
95.5,58.454470424738666,57.50575299210191
96.0,40.10438333077182,37.36455303355703
96.5,58.16904986080349,49.76392296975096
97.0,50.00409282822144,44.41119887333481
97.5,68.9151957692046,59.003072914278995
98.0,53.89592203297329,53.681248646848104
98.5,56.43155578129521,54.37511714494748
99.0,73.86380331551521,66.08839689498701
99.5,63.80818638712371,56.02219449089278
100.0,60.79426937537129,50.2456666884251
100.5,85.40385467147574,75.6962976918445
101.0,76.34083824510178,70.23383421240587
101.5,56.03075756907665,49.355614927731224
102.0,56.89363372503949,55.74426121621846
102.5,52.318121651663176,45.818510925535485
103.0,66.64985546967729,57.73257475789962
103.5,74.71643600073479,67.29177447704923
