time_ns,Pe
0.0,135.70706
0.09999999999999999,50.829797
0.19999999999999998,47.932375
0.3,63.957667
0.39999999999999997,62.357556
0.5,53.159361
0.6,48.24012
0.7,44.047525
0.7999999999999999,41.122278
0.8999999999999999,18.11719
1.0,10.846113
1.0999999999999999,1.607297
1.2,8.6429809
1.3,10.911423
1.4,-13.877605
1.5,-12.533072
1.5999999999999999,-15.154817
1.7,-22.212515
1.7999999999999998,-24.351806
1.9,-34.016952
2.0,-31.571089
2.1,-9.1515503
2.1999999999999997,-19.079751
2.3,-6.1800719
2.4,-15.753576
2.5,-24.954359
2.6,-18.674622
2.6999999999999997,-25.67235
2.8,-14.296138
2.9,-1.4379745
3.0,-4.0720348
3.0999999999999996,-8.0646733
3.1999999999999997,-7.8867079
3.3,-6.8861017
3.4,-9.3507757
3.5,-1.9526599
3.5999999999999996,-1.5535395
3.6999999999999997,-5.7687117
3.8,-6.6127835
3.9,-17.656648
4.0,-6.5322463
4.1,-6.6775294
4.2,-19.090332
4.3,-11.13283
4.3999999999999995,-41.888436
4.5,-23.743513
4.6,-29.704473
4.7,-28.614222
4.8,-26.549863
4.8999999999999995,-30.238685
5.0,-31.397773
5.1,-17.887335
5.2,-7.6212072
5.3,-27.11273
5.3999999999999995,-25.396292
5.5,-43.988323
5.6,-50.998289
5.7,-59.447909
5.8,-44.288801
5.8999999999999995,-52.104639
6.0,-47.714639
6.1,-24.374578
6.199999999999999,-30.255029
6.3,-26.662903
6.3999999999999995,-33.725416
6.5,-17.204299
6.6,-36.490333
6.699999999999999,-17.122148
6.8,-23.388542
6.8999999999999995,-38.088582
7.0,-24.197565
7.1,-42.070796
7.199999999999999,-35.487187
7.3,-49.45519
7.3999999999999995,-43.70957
7.5,-43.695301
7.6,-37.598227
7.699999999999999,-50.162012
7.8,-56.388151
7.8999999999999995,-55.975685
8.0,-36.126676
8.1,-10.004806
8.2,-43.744746
8.299999999999999,-46.926562
8.4,-27.612323
8.5,-11.530492
8.6,-16.799957
8.7,-17.710582
8.799999999999999,-12.943851
8.9,-18.783399
9.0,-16.69688
9.1,-20.363058
9.2,-11.154423
9.299999999999999,-17.477985
9.4,-16.154947
9.5,-7.4349034
9.6,-13.371759
9.7,-1.2397855
9.799999999999999,-8.6791869
9.9,-6.1905841
10.0,-12.231158
10.1,-38.718352
10.2,-34.079142
10.299999999999999,-39.806425
10.4,-27.377709
10.5,-33.277932
10.6,-32.307129
10.7,-36.50876
10.799999999999999,-29.559538
10.9,-26.02904
11.0,-31.608437
11.1,-24.159571
11.2,-32.228381
11.299999999999999,-35.760839
11.4,-37.011902
11.5,-34.231463
11.6,-46.816311
11.7,-28.419632
11.799999999999999,-25.334131
11.899999999999999,-31.671802
12.0,-30.184938
12.1,-21.507668
12.2,-15.595401
12.299999999999999,-27.174837
12.399999999999999,-31.4649
12.5,-33.346096
12.6,-29.346027
12.7,-41.394081
12.799999999999999,-34.213673
12.899999999999999,-25.703523
13.0,-40.343133
13.1,-27.038315
13.2,-19.305121
13.299999999999999,-21.081094
13.399999999999999,-9.1104676
13.5,-3.6491528
13.6,-14.749641
13.7,-34.246254
13.799999999999999,-40.212466
13.899999999999999,-12.469854
14.0,-18.991875
14.1,-21.507948
14.2,-31.515448
14.299999999999999,-21.891805
14.399999999999999,-34.352166
14.5,-30.627732
14.6,-35.931128
14.7,-30.458123
14.799999999999999,-33.759271
14.899999999999999,-25.886877
15.0,-23.727224
15.1,-42.529771
15.2,-29.026065
15.299999999999999,-47.914699
15.399999999999999,-33.576218
15.5,-22.015801
15.6,-26.75494
15.7,-26.016547
15.799999999999999,-23.892381
15.899999999999999,-26.917058
16.0,-35.019385
16.099999999999998,-28.436781
16.2,-15.845496
16.3,-27.239251
16.4,-39.063771
16.5,-24.208704
16.599999999999998,-34.679288
16.7,-55.160164
16.8,-48.364156
16.9,-44.732282
17.0,-51.79031
17.099999999999998,-34.356947
17.2,-20.569435
17.3,-23.887088
17.4,-46.164612
17.5,-39.795719
17.599999999999998,-35.021559
17.7,-29.345655
17.8,-62.564423
17.9,-55.257198
18.0,-63.722772
18.099999999999998,-64.629324
18.2,-66.208977
18.3,-52.550007
18.4,-54.973579
18.5,-59.383459
18.599999999999998,-38.356643
18.7,-31.492929
18.8,-45.735676
18.9,-51.242992
19.0,-55.161437
19.099999999999998,-49.940885
19.2,-32.580439
19.3,-55.386194
19.4,-43.050556
19.5,-59.880103
19.599999999999998,-35.705321
19.7,-52.080026
19.8,-49.289215
19.9,-44.178228
20.0,-42.859961
20.099999999999998,-49.220803
20.2,-50.289883
20.3,-36.592784
20.4,-60.271923
20.5,-32.598181
20.599999999999998,-36.034116
20.7,-14.581607
20.8,-30.488119
20.9,-37.610848
21.0,-45.980847
21.099999999999998,-43.374142
21.2,-48.468874
21.3,-44.118153
21.4,-33.616442
21.5,-30.437223
21.599999999999998,-43.992666
21.7,-38.843832
21.8,-24.290189
21.9,-44.006889
22.0,-40.995543
22.099999999999998,-28.867363
22.2,-26.217092
22.3,-32.059373
22.4,-16.728887
22.5,-31.532434
22.599999999999998,-34.051545
22.7,-31.036595
22.8,-47.362404
22.9,-51.100738
23.0,-46.088543
23.099999999999998,-42.534835
23.2,-46.266463
23.3,-40.19437
23.4,-41.816938
23.5,-38.039797
23.599999999999998,-36.195214
23.7,-26.78002
23.799999999999997,-10.918805
23.9,-51.757219
24.0,-40.089172
24.099999999999998,-40.804194
24.2,-56.026812
24.299999999999997,-63.101537
24.4,-50.929751
24.5,-36.414276
24.599999999999998,-35.34783
24.7,-32.884492
24.799999999999997,-35.452114
24.9,-37.065231
25.0,-26.392451
25.099999999999998,-44.99305
25.2,-44.338921
25.299999999999997,-35.790137
25.4,-61.215881
25.5,-44.965237
25.599999999999998,-51.673042
25.7,-40.130032
25.799999999999997,-46.423531
25.9,-51.340852
26.0,-37.671391
26.099999999999998,-45.588054
26.2,-44.582226
26.299999999999997,-40.744606
26.4,-28.584869
26.5,-41.489795
26.599999999999998,-38.190564
26.7,-48.571487
26.799999999999997,-39.748014
26.9,-26.617296
27.0,-30.089275
27.099999999999998,-29.490113
27.2,-5.4768383
27.299999999999997,-17.194188
27.4,-29.819151
27.5,-32.294573
27.599999999999998,-39.609129
27.7,-40.087893
27.799999999999997,-42.570533
27.9,-36.011295
28.0,-43.212668
28.099999999999998,-42.386524
28.2,-45.239342
28.299999999999997,-50.293077
28.4,-49.772571
28.5,-43.595239
28.599999999999998,-32.748109
28.7,-48.3713
28.799999999999997,-44.27166
28.9,-65.295524
29.0,-42.447097
29.099999999999998,-46.49095
29.2,-36.956602
29.299999999999997,-52.611236
29.4,-26.598137
29.5,-36.513026
29.599999999999998,-31.262056
29.7,-39.756379
29.799999999999997,-51.350705
29.9,-41.407569
30.0,-34.970392
30.099999999999998,-45.683658
30.2,-27.536582
30.299999999999997,-33.269785
30.4,-35.460804
30.5,-25.178146
30.599999999999998,-35.685332
30.7,-22.876623
30.799999999999997,-28.84113
30.9,0.19543438
31.0,-28.163898
31.099999999999998,-59.590835
31.2,-36.277426
31.299999999999997,-51.297606
31.4,-61.867152
31.5,-57.405268
31.599999999999998,-45.683153
31.7,-30.621885
31.799999999999997,-32.215586
31.9,-24.363712
32.0,-50.453743
32.1,-27.978884
32.199999999999996,-39.796433
32.3,-47.945902
32.4,-38.318692
32.5,-36.771329
32.6,-40.314577
32.699999999999996,-39.859021
32.8,-33.694691
32.9,-40.852725
33.0,-42.429225
33.1,-23.700834
33.199999999999996,-43.087969
33.3,-31.67813
33.4,-30.966257
33.5,-42.969429
33.6,-26.078787
33.699999999999996,-40.627289
33.8,-50.58191
33.9,-38.520399
34.0,-43.030403
34.1,-44.269374
34.199999999999996,-51.209732
34.3,-53.011629
34.4,-42.106036
34.5,-56.850831
34.6,-51.535733
34.699999999999996,-48.990009
34.8,-37.530999
34.9,-28.995318
35.0,-33.605661
35.1,-40.764745
35.199999999999996,-46.21175
35.3,-42.137482
35.4,-46.468414
35.5,-45.836678
35.6,-49.355172
35.699999999999996,-50.159556
35.8,-61.750365
35.9,-56.783642
36.0,-41.999245
36.1,-50.616439
36.199999999999996,-36.464167
36.3,-43.779173
36.4,-50.625476
36.5,-36.863393
36.6,-51.127773
36.699999999999996,-47.043285
36.8,-29.205222
36.9,-42.122283
37.0,-24.617716
37.1,-30.084868
37.199999999999996,-24.306441
37.3,-31.211866
37.4,-37.93254
37.5,-34.918046
37.6,-36.466082
37.699999999999996,-26.525774
37.8,-40.86176
37.9,-32.285119
38.0,-30.506033
38.1,-26.881459
38.199999999999996,-17.738176
38.3,-33.509447
38.4,-33.807056
38.5,-30.488511
38.6,-47.114206
38.699999999999996,-55.600887
38.8,-42.830572
38.9,-21.258819
39.0,-41.979189
39.1,-46.796275
39.199999999999996,-38.433546
39.3,-32.557549
39.4,-49.0448
39.5,-48.670698
39.6,-41.608938
39.699999999999996,-34.2075
39.8,-27.992912
39.9,-45.174378
40.0,-51.133367
40.0,-51.133367
40.1,-49.209116
40.199999999999996,-43.54538
40.3,-49.938904
40.4,-36.234534
40.5,-49.188821
40.6,-43.020195
40.699999999999996,-34.545198
40.8,-44.300549
40.9,-45.470173
41.0,-45.161448
41.1,-49.316911
41.199999999999996,-56.024907
41.3,-47.700135
41.4,-44.993858
41.5,-47.438892
41.6,-35.732989
41.699999999999996,-31.490971
41.8,-48.239079
41.9,-29.460968
42.0,-46.43317
42.1,-19.369228
42.199999999999996,-31.184111
42.3,-37.973707
42.4,-24.280366
42.5,-42.681012
42.6,-33.468389
42.699999999999996,-42.078288
42.8,-32.310866
42.9,-25.152428
43.0,-28.912235
43.1,-23.453138
43.199999999999996,-24.643951
43.3,-15.275265
43.4,-20.4453
43.5,-36.369754
43.6,-38.517639
43.699999999999996,-36.845686
43.8,-47.222232
43.9,-50.80526
44.0,-47.163287
44.1,-25.408661
44.199999999999996,-32.061311
44.3,-26.591061
44.4,-11.254902
44.5,-24.807693
44.6,-10.643242
44.699999999999996,-17.839285
44.8,-4.3157352
44.9,-15.598896
45.0,-21.149712
45.1,-12.974683
45.199999999999996,-13.054324
45.3,-6.8965634
45.4,-13.455449
45.5,-8.0725078
45.6,6.6513571
45.699999999999996,-3.8346226
45.8,-8.3313277
45.9,-0.54820305
46.0,-9.9826249
46.1,-14.273015
46.199999999999996,-14.935475
46.3,-24.133084
46.4,-18.333023
46.5,-4.7173095
46.6,-1.2643674
46.699999999999996,-5.4546472
46.8,-6.7043107
46.9,-21.639398
47.0,-10.571803
47.1,-4.3510493
47.199999999999996,-13.911792
47.3,-4.8241828
47.4,-11.206865
47.5,-16.086253
47.599999999999994,-19.54053
47.699999999999996,3.087625
47.8,-7.7053651
47.9,-13.820721
48.0,-0.9720776
48.099999999999994,-5.0463781
48.199999999999996,0.18010972
48.3,-17.738381
48.4,10.897158
48.5,19.920293
48.599999999999994,27.476795
48.699999999999996,19.282173
48.8,19.599856
48.9,13.147561
49.0,10.945578
49.099999999999994,19.670066
49.199999999999996,21.111066
49.3,33.318241
49.4,26.432923
49.5,32.340031
49.599999999999994,13.835398
49.699999999999996,33.15235
49.8,9.8423192
49.9,5.0531658
50.0,18.443897
50.099999999999994,16.050981
50.199999999999996,0.45028767
50.3,4.7458327
50.4,6.4828183
50.5,34.450354
50.599999999999994,29.946739
50.699999999999996,36.227483
50.8,37.020792
50.9,26.680012
51.0,19.075372
51.099999999999994,0.084587036
51.199999999999996,10.255097
51.3,14.409532
51.4,10.149532
51.5,6.5298001
51.599999999999994,-17.036181
51.699999999999996,-21.584079
51.8,-6.6751101
51.9,2.3089152
52.0,-12.06903
52.099999999999994,-7.549296
52.199999999999996,-15.73253
52.3,-2.0973492
52.4,-0.057293092
52.5,3.3345
52.599999999999994,-13.628364
52.699999999999996,10.999556
52.8,-5.4906953
52.9,-4.6852493
53.0,4.2494426
53.099999999999994,-13.606823
53.199999999999996,5.5023342
53.3,3.3205228
53.4,-19.515271
53.5,-4.5742166
53.599999999999994,-17.59465
53.699999999999996,-14.271815
53.8,-10.322606
53.9,-14.936193
54.0,-17.592513
54.099999999999994,-24.501575
54.199999999999996,-4.8907271
54.3,-1.9003888
54.4,13.062419
54.5,-2.9746428
54.599999999999994,-9.571881
54.699999999999996,3.3216586
54.8,9.94417
54.9,-9.2954327
55.0,25.144333
55.099999999999994,12.648298
55.199999999999996,20.945242
55.3,22.560228
55.4,11.31055
55.5,14.115893
55.599999999999994,7.7150892
55.699999999999996,-0.15547118
55.8,3.6576961
55.9,-8.8515806
56.0,3.0971833
56.099999999999994,8.8228579
56.199999999999996,17.511827
56.3,8.9885476
56.4,17.263421
56.5,-13.576663
56.599999999999994,-5.3520611
56.699999999999996,-1.179729
56.8,22.174836
56.9,10.898855
57.0,24.649445
57.099999999999994,46.878283
57.199999999999996,29.919054
57.3,45.726313
57.4,36.467314
57.5,28.281587
57.599999999999994,11.918125
57.699999999999996,35.298325
57.8,18.196075
57.9,27.73505
58.0,34.036137
58.099999999999994,31.103099
58.199999999999996,36.183235
58.3,14.737
58.4,6.017628
58.5,6.9790716
58.599999999999994,-10.322135
58.699999999999996,21.427636
58.8,11.521172
58.9,21.112864
59.0,24.517231
59.099999999999994,19.390944
59.199999999999996,35.263027
59.3,52.126647
59.4,33.806408
59.5,56.157242
59.599999999999994,51.47427
59.699999999999996,22.332891
59.8,4.9539754
59.9,18.129506
60.0,26.804336
60.099999999999994,7.4183112
60.199999999999996,18.790439
60.3,19.627791
60.4,36.245499
60.5,34.027732
60.599999999999994,30.521437
60.699999999999996,43.413056
60.8,53.558378
60.9,52.472968
61.0,45.463738
61.099999999999994,34.770911
61.199999999999996,32.857164
61.3,30.525258
61.4,22.886072
61.5,21.593888
61.599999999999994,16.428606
61.699999999999996,9.3607185
61.8,-3.4115632
61.9,6.1669383
62.0,14.478893
62.099999999999994,28.30701
62.199999999999996,32.79634
62.3,31.708466
62.4,23.960932
62.5,30.481299
62.599999999999994,32.837617
62.699999999999996,40.185531
62.8,23.421173
62.9,47.280007
63.0,17.755557
63.099999999999994,27.474584
63.199999999999996,38.551943
63.3,40.961971
63.4,44.719147
63.5,35.139075
63.599999999999994,64.493031
63.699999999999996,36.252527
63.8,37.964252
63.9,26.263405
64.0,39.397616
64.1,52.217297
64.2,39.51708
64.3,31.579964
64.39999999999999,23.885364
64.5,30.339413
64.6,44.939295
64.7,46.168041
64.8,55.980003
64.89999999999999,44.540104
65.0,17.340796
65.1,25.692637
65.2,20.664558
65.3,16.164288
