time_ns,Rg_reg,Rg_enh,dRg,RMSD_reg,RMSD_enh,dRMSD
0.0,199.26516671678135,199.26516671678135,0.0,187.8891047932914,187.8891047932914,0.0
0.5,84.53855905869771,80.35710646950695,-4.181452589190769,77.60943652769082,72.96444577992514,-4.644990747765675
1.0,89.4091271667291,54.35629900943,-35.0528281572991,81.58608094240921,53.55272078584996,-28.033360156559255
1.5,51.634123236672366,35.050439887965666,-16.5836833487067,48.762395483989465,44.20693926474385,-4.555456219245613
2.0,49.79240824461881,34.36492059500855,-15.427487649610264,46.50421530637583,45.37063769202616,-1.1335776143496759
2.5,47.44031679772459,29.43698618292434,-18.00333061480025,45.60401359452142,42.01616365657439,-3.587849937947027
3.0,53.95689424713074,28.987720401765884,-24.969173845364857,50.63144735729598,40.15359684166287,-10.477850515633115
3.5,51.98903180731126,29.784406509362864,-22.204625297948393,47.77320607823352,41.66382485803478,-6.109381220198742
4.0,35.309114428022475,29.32146757570874,-5.987646852313734,37.829562631359735,42.32794976470346,4.498387133343726
4.5,37.04678591754288,31.3326148454405,-5.714171072102378,39.6186754332547,42.48184975807289,2.863174324818189
5.0,41.43818915202994,29.180528906500133,-12.25766024552981,40.57210067124254,42.42130737213669,1.8492067008941504
5.5,33.95869574763308,29.40514771646192,-4.553548031171161,38.20710325964082,42.5956876016148,4.388584341973981
6.0,34.14824821543429,31.35299079524796,-2.795257420186335,38.296274223469446,44.31942043880937,6.023146215339921
6.5,30.00549802271785,31.67699324159214,1.6714952188742913,36.79246809389164,43.03893985121859,6.246471757326951
7.0,34.40526629114205,30.435254105717117,-3.970012185424931,38.77806183350081,40.9604968874166,2.182435053915796
7.5,41.07686361800936,33.09143825668813,-7.985425361321234,43.4089580133461,43.37150039143937,-0.037457621906732186
8.0,40.80952584424152,31.908421736127178,-8.901104108114342,42.83921390611617,42.97724193499148,0.1380280288753113
8.5,57.09389875336917,31.65208554045569,-25.441813212913477,52.90182927501945,43.03392015592621,-9.867909119093241
9.0,46.14511143502762,33.472662962993226,-12.672448472034397,45.83508564176807,44.74431545098846,-1.0907701907796081
9.5,38.74634777364402,36.08535001715341,-2.660997756490609,40.54675918509415,46.69140195506207,6.144642769967916
10.0,36.44275271817416,31.560978083026967,-4.881774635147195,41.30485116524657,43.67587912974903,2.37102796450246
10.5,43.05875895681685,30.6453499865968,-12.413408970220054,42.30497295223158,42.123614379360944,-0.18135857287063573
11.0,38.09980967855475,29.042021165828828,-9.05778851272592,39.45029313009625,39.76282289394823,0.31252976385198394
11.5,43.77520308553474,30.854240153584023,-12.920962931950719,44.44065026695788,41.49864031679901,-2.9420099501588695
12.0,45.44486188273829,33.303757422293444,-12.141104460444843,45.17348503862739,44.2620901656707,-0.9113948729566914
12.5,49.19461268190998,32.76415397844376,-16.430458703466222,47.8236642194043,42.934743525101695,-4.888920694302605
13.0,37.63961451161148,31.931680814559616,-5.70793369705186,40.69496528011774,42.91998387615595,2.225018596038211
13.5,31.94831643208713,30.58063486197793,-1.3676815701091982,38.70751965970671,42.27375456018174,3.566234900475031
14.0,48.46069755484408,31.267281476718544,-17.193416078125537,46.54777991409227,42.87266785502289,-3.6751120590693773
14.5,48.27875263981302,28.841141437362463,-19.437611202450558,46.81278438419992,41.474763814052274,-5.338020570147648
15.0,39.06472165741594,27.740457003795616,-11.324264653620322,41.44955836189872,39.61757502578178,-1.8319833361169344
15.5,41.72337999102547,26.385918227405515,-15.337461763619952,42.57588759442328,39.69627423379513,-2.8796133606281487
16.0,35.73625379349278,26.300463964011943,-9.435789829480836,43.51456028104525,39.3906682418765,-4.1238920391687515
16.5,35.17017503175698,27.04970989743717,-8.120465134319812,42.34178868530535,40.315117059507415,-2.0266716257979382
17.0,33.035563883782935,27.137427776868464,-5.898136106914471,37.33200390263543,41.218723187606656,3.886719284971228
17.5,45.14094893594192,30.07497531683864,-15.065973619103282,44.8413468502858,41.30459901665567,-3.5367478336301303
18.0,32.56440791211346,26.646105316135145,-5.918302595978314,39.1439678881701,39.14445257182868,0.000484683658577012
18.5,47.47261890527594,29.395175490567382,-18.077443414708554,46.4411432500139,42.109200382230746,-4.331942867783155
19.0,42.2519858722947,31.02374578957276,-11.228240082721943,43.17445868312469,42.334126136731456,-0.8403325463932347
19.5,50.89378764239383,30.475363025332765,-20.418424617061067,49.82989182416196,40.97827399325079,-8.851617830911174
20.0,41.09372334478086,31.99218581834792,-9.101537526432942,44.50638365237898,43.1874402392566,-1.3189434131223763
20.5,47.29278946425628,32.43869736517174,-14.85409209908454,47.02972395606184,43.253927428509,-3.775796527552835
21.0,39.6421284562916,30.635412026524445,-9.006716429767156,42.45123715042477,41.50682885352924,-0.9444082968955243
21.5,44.37505786141626,30.107503481698775,-14.267554379717485,45.33097657318911,40.48170185130183,-4.849274721887284
22.0,49.34010778912013,30.23370296788645,-19.10640482123368,48.01019820067315,40.35494802106046,-7.655250179612693
22.5,45.42001854611616,30.3324851682096,-15.08753337790656,44.0005288759517,41.9501645765903,-2.050364299361398
23.0,45.049994042850166,33.69147676622196,-11.358517276628206,44.585050997212726,44.93314162989029,0.348090632677561
23.5,35.695335783152466,28.515133271384897,-7.180202511767568,38.73347124373436,41.82742224354722,3.0939509998128614
24.0,37.84303974421347,31.032078035818454,-6.810961708395016,41.72108482566092,43.27597003960845,1.5548852139475358
24.5,40.31665684447355,32.19522915604623,-8.121427688427318,42.30503908648714,42.91372822144368,0.6086891349565349
25.0,41.24520038049474,29.11538436135078,-12.129816019143956,44.200166557698005,41.02086657002283,-3.179299987675172
25.5,33.26321483700689,30.32147881607805,-2.9417360209288432,40.03083230492055,41.12467895469689,1.0938466497763386
26.0,48.60067332354324,29.582790431479896,-19.017882892063344,48.10238676329256,40.02710223005217,-8.075284533240385
