n_aso,box_half,mean_bound_frac,std_bound_frac,n_bound_mean,bound_frac_final,n_frames
5,100,0.16023738872403562,0.14522244279007684,0.8011869436201781,0.4,421
20,100,0.10445103857566766,0.05318696216203007,2.0890207715133533,0.1,421
50,100,0.07270029673590504,0.03358159070582144,3.635014836795252,0.08,421
