Job started: Tue Mar 24 03:12:29 PM EDT 2026
Running on: della-r3c2n8
Tasks: 4
LAMMPS (29 Aug 2024)
  using 1 OpenMP thread(s) per MPI task
Reading restart file ...
  restart file = 29 Aug 2024, LAMMPS = 29 Aug 2024
  restoring atom style full from restart
  orthogonal box = (-80 -80 -80) to (80 80 80)
  1 by 2 by 2 MPI processor grid
  restoring pair style hybrid/overlay from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  1032 atoms
  931 bonds
  830 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     2 = max # of 1-3 neighbors
     4 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_restart CPU = 0.006 seconds
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 33
  ghost atom cutoff = 33
  binsize = 16.5, bins = 10 10 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair lj/cut, perpetual, trim from (2)
      attributes: half, newton on, cut 25
      pair build: trim
      stencil: none
      bin: none
  (2) pair base/rna, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 80000000
  Time step     : 10
Per MPI rank memory allocation (min/avg/max) = 7.315 | 7.316 | 7.319 Mbytes
   Step         PotEng         KinEng         TotEng          Temp          Press         Density    
  80000000  -626.38251      757.80356      131.42105      246.58331      3.8041857      0.134578     
  80010000  -658.89368      758.17249      99.27881       246.70335     -2.1787846      0.134578     
  80020000  -652.87797      767.05567      114.1777       249.59387     -2.9782169      0.134578     
  80030000  -622.58991      772.81785      150.22793      251.46884      2.0115699      0.134578     
  80040000  -622.59443      761.08134      138.48692      247.64987     -5.6630397      0.134578     
  80050000  -556.77551      731.31982      174.54431      237.96571     -0.86873595     0.134578     
  80060000  -622.86695      748.28797      125.42102      243.48701     -0.20496041     0.134578     
  80070000  -617.65264      776.47992      158.82729      252.66045      2.6109538      0.134578     
  80080000  -612.60458      770.86894      158.26436      250.83468      1.1313034      0.134578     
  80090000  -651.93468      755.55877      103.6241       245.85287      3.0792262      0.134578     
  80100000  -606.47145      761.10177      154.63032      247.65652      5.2532687      0.134578     
  80110000  -680.71216      775.61742      94.905254      252.3798       2.3266623      0.134578     
  80120000  -619.21989      769.14251      149.92262      250.27291      4.4867823      0.134578     
  80130000  -624.02689      766.12846      142.10157      249.29217     -1.5477859      0.134578     
  80140000  -635.55413      747.40195      111.84781      243.1987      -7.0244858      0.134578     
  80150000  -655.66056      822.19625      166.53569      267.53618      3.9448745      0.134578     
  80160000  -688.62532      760.80506      72.179741      247.55997      1.8228835      0.134578     
  80170000  -605.2751       796.45384      191.17873      259.1598       1.2982691      0.134578     
  80180000  -640.72159      758.9608       118.23921      246.95986     -3.3044911      0.134578     
  80190000  -668.46115      802.18029      133.71914      261.02315     -3.5734908      0.134578     
  80200000  -699.67493      762.68865      63.013713      248.17288      0.2635239      0.134578     
  80210000  -646.4515       751.05754      104.60604      244.38821      4.9805131      0.134578     
  80220000  -678.50755      765.93297      87.425419      249.22855     -7.9053074      0.134578     
  80230000  -651.40329      760.82835      109.42506      247.56755     -1.9834481      0.134578     
  80240000  -665.69463      756.49868      90.804053      246.15871      2.1239905      0.134578     
  80250000  -692.32696      777.28262      84.955664      252.92164     -13.49744       0.134578     
  80260000  -621.1305       778.54238      157.41188      253.33156     -4.6431861      0.134578     
  80270000  -671.53925      710.09912      38.559867      231.06066     -0.98285313     0.134578     
  80280000  -640.82886      782.51014      141.68129      254.62264     -0.34926889     0.134578     
  80290000  -650.67104      731.17548      80.504445      237.91874     -1.3243191      0.134578     
