time_ns,RMSD
0.0,163.43579677313883
0.5,48.73874893659641
1.0,35.06423998953053
1.5,33.32349026955269
2.0,30.96764876916537
2.5,29.981972249995486
3.0,28.595121796471826
3.5,25.545377731578224
4.0,28.750355091478763
4.5,29.952953108110723
5.0,30.151901222005087
5.5,27.57350606369336
6.0,24.582208009933453
6.5,25.570178009920816
7.0,25.16117027816556
7.5,26.464521150394518
8.0,29.63306946815151
8.5,23.42890762929123
9.0,25.37473963415029
9.5,49.36274464210402
10.0,34.68718003143297
10.5,24.312111250094578
11.0,23.614969143275193
11.5,28.345475220939846
12.0,21.813415876972996
12.5,32.639495488236754
13.0,33.59607105908857
13.5,38.67812544420512
14.0,26.38747330122672
14.5,31.16282332062087
15.0,29.154832648088387
15.5,25.725767056818324
16.0,28.360770864479086
16.5,33.05148171122019
17.0,27.75848593072222
17.5,26.910930956386057
18.0,27.617769699693437
18.5,28.562247835399653
19.0,25.581893088939587
19.5,26.833655695795382
20.0,25.00479548313334
20.5,26.652256508608076
21.0,27.86871898944543
21.5,26.845869947133355
22.0,25.10273354879785
22.5,24.85957294361003
23.0,29.62328709153154
23.5,26.02872429006489
24.0,27.154076025281565
24.5,29.421694372086588
25.0,25.391508918008718
25.5,25.293170461195448
26.0,27.134798268047994
26.5,29.43660367216936
27.0,32.61667712050122
27.5,26.203164722009596
28.0,28.45018406620618
28.5,24.56472590629107
29.0,28.717819800031503
29.5,24.58711126157818
30.0,28.37907660307824
30.5,30.509443418705448
31.0,28.58242682747521
31.5,27.272628856408538
32.0,29.14862159743585
32.5,27.254006646130286
33.0,26.00249001416825
33.5,27.11020279675687
34.0,24.452068588186695
34.5,26.857981158166496
35.0,27.810364258255106
35.5,26.56750690240566
36.0,25.877143959186917
36.5,25.2652590001277
37.0,31.16584065755849
37.5,27.26634706301805
38.0,25.015009705292595
38.5,26.966534951168228
39.0,21.689587374731
39.5,26.867104049257943
40.0,25.89829371981812
40.5,29.523759447858556
41.0,23.847454466608838
41.5,26.899093181011533
42.0,27.988377082684288
42.5,31.64087354836199
43.0,28.844452452803267
43.5,31.36688769965167
44.0,30.31154326330743
44.5,40.31150373735228
45.0,28.581460497901954
45.5,47.83025332128475
46.0,32.239191210729096
46.5,41.742116584723234
47.0,35.34950204331557
47.5,39.30238350381092
48.0,41.812156884836284
48.5,33.76532459547062
49.0,51.363283298300395
49.5,57.93421780833303
50.0,31.012437106523926
50.5,34.43623607364014
51.0,61.03750658623964
51.5,48.962136845746734
52.0,57.81475285832107
52.5,25.56511919702905
53.0,43.286199778230944
53.5,29.67843386767808
54.0,26.843296284952334
54.5,26.586011636925075
55.0,32.7579225752259
55.5,57.27371777819441
56.0,41.60839221234535
56.5,43.599215233328884
57.0,37.76425067012903
57.5,45.911796057004366
58.0,48.21701054677756
58.5,39.73448988457352
59.0,53.948075414852575
59.5,48.349815718167875
60.0,30.17926694105911
60.5,43.26054972519378
61.0,56.395417755154874
61.5,39.46316533051666
62.0,38.14248611513325
62.5,43.772142240163696
63.0,36.844551313996085
63.5,49.01273537819794
64.0,45.04035011601
64.5,42.79936628103264
65.0,38.90477513623921
65.5,29.61246745227693
66.0,34.57564163890814
66.5,48.35459706432262
67.0,50.234716149744465
67.5,36.66253073992374
68.0,43.58013588342646
68.5,47.50002883113486
69.0,43.429467638039256
69.5,36.472027968855855
70.0,41.36193986044002
70.5,42.93044045082869
71.0,34.97479921712479
71.5,36.25288457554081
72.0,44.37363430509848
72.5,42.39504230885271
73.0,55.773249509762
73.5,50.429178287007325
74.0,40.54144350473733
74.5,33.802913764157665
75.0,52.019883485767075
75.5,48.00736941740143
76.0,33.63562806266973
76.5,34.90919215189682
77.0,43.174197202953614
77.5,44.68892269245329
78.0,26.1262203543268
78.5,42.191491741402196
79.0,45.108714464497396
79.5,41.088281683909045
80.0,38.08324246057055
80.5,45.39527822298733
81.0,35.91478336494504
81.5,35.12041975658831
82.0,39.27035499527169
82.5,31.05405650262326
83.0,47.586777902563426
83.5,40.79903958223619
84.0,59.4665819375994
84.5,66.53192063018005
85.0,74.23860771862371
85.5,44.71017826867594
86.0,52.40354899007506
86.5,47.904511508072005
87.0,39.60674404073895
87.5,33.921798835520775
88.0,59.22713202249375
88.5,44.851856636343896
89.0,64.05298307148702
89.5,42.0597032324092
90.0,54.615620138028966
90.5,68.71700422949517
91.0,79.03405093436145
91.5,89.99927976165799
92.0,81.81615477216944
92.5,78.2343030998768
93.0,56.31080154280763
93.5,74.62549028528443
94.0,50.57447251421471
94.5,54.81477611918651
95.0,42.22374280549228
95.5,57.50575299210191
96.0,37.36455303355703
96.5,49.76392296975096
