name,aso_count,kd_molar_com_12,kd_mM
25ASO_unmod,25,0.1353394343994335,135.3394343994335
50ASO_unmod,50,0.2902174157857338,290.2174157857338
200ASO_unmod,200,0.3496609853515064,349.66098535150644
