time_ns,Rg,RMSD
0.0,224.8137432780004,210.7482680014729
0.5,131.12695485716034,117.12064485909627
1.0,122.56508550931213,109.11617551833284
1.5,109.76830137637442,95.17489004463287
2.0,88.95943343758393,74.33861817995394
2.5,82.73826196747149,67.20138832979822
3.0,53.29727828546563,42.48308968113325
3.5,46.02230508887987,38.582129255466846
4.0,44.040746715067826,38.00386486585632
4.5,44.52620849384194,34.24996106428784
5.0,40.71369228460661,33.27106198840872
5.5,34.81325043731429,31.03059581308934
6.0,44.74982049935688,33.75523662332744
6.5,47.527429698138604,38.825474652694574
7.0,63.317204900069555,50.74058521121329
7.5,72.78432553337883,61.153483162378855
8.0,48.1216146188814,39.17789965423525
8.5,55.068155740928134,47.86002972267408
9.0,57.581062810661074,48.89659129602199
9.5,38.4379953889322,33.52397011105964
10.0,31.261886735528883,29.36588207532135
10.5,34.55849985529498,34.03829556223488
11.0,34.2049917131123,31.30111497687533
11.5,36.52904402044948,31.061623417119915
12.0,32.64951658883559,30.694937033984914
12.5,33.96623363019455,31.04505561361877
13.0,30.520582769622234,29.997483013266415
13.5,34.81589225106168,32.82045662282896
14.0,34.41266658663698,34.42129016922729
14.5,37.909091353914484,34.929705164774084
15.0,33.43867492027243,27.696075643234934
15.5,31.77575050537468,30.270541709990226
16.0,29.189078933019463,29.532191584599563
16.5,35.14408168367401,33.47072684247942
17.0,36.05647440159475,36.155696853213975
17.5,33.04432238092146,31.048306315713123
18.0,35.160736484717674,31.636426821559994
18.5,33.31595194215627,29.43800087154571
19.0,33.91250873173791,30.470130039561226
19.5,30.77760771197505,26.011388183567185
20.0,32.3774910718693,28.712490221867096
20.5,29.17123605629084,29.931263624873477
21.0,39.937839955570695,33.470444654390754
21.5,35.20072546323315,33.30521099511823
22.0,31.544943544903656,30.534348851031915
22.5,30.14590767262635,26.7394742415157
23.0,31.156621160672398,35.87449923063977
23.5,37.5879756545362,35.798802514400975
24.0,36.91591179423134,36.74070706178112
24.5,40.51363449832644,35.94067702175544
25.0,30.291837919722433,32.22370807428665
25.5,35.5287657158602,35.2012248610945
26.0,30.898533697353614,30.576140297383752
26.5,35.406466216197224,36.24569465039032
27.0,34.64633776913458,33.49579157031082
27.5,33.245515320620484,30.193925852375703
28.0,35.60057393799761,34.67368152633512
28.5,40.31325331111508,38.22299232059264
29.0,35.71226700696971,29.374832968424883
29.5,33.390456597340325,30.674591519424208
30.0,31.28602800978721,32.25664619460503
30.5,32.03366611584616,32.99604409072505
31.0,32.51384775593558,34.68972716033633
31.5,31.818860963042624,33.89402051812137
32.0,30.236992957863524,32.495013301512344
32.5,35.19704434525678,33.574653748473956
33.0,31.052833140779935,34.291783177061376
33.5,30.277014070510717,35.97156333439851
34.0,31.342880387391972,35.694329949647816
34.5,33.28184286615728,36.63688108862118
35.0,31.159798776532103,35.93015250671177
35.5,31.645489714724636,35.4979425053792
36.0,32.31810605560832,31.404129756640703
36.5,31.511837539289235,31.350864899228593
37.0,30.84356724760824,31.717187832470373
37.5,30.826697338230378,31.923792989346097
38.0,33.65047752939271,30.150848126376097
38.5,34.46418665613144,32.54591251988685
39.0,31.182473069184965,30.887067366865615
39.5,32.089547469089766,33.158585433549646
40.0,32.71979566043386,33.41148202371032
40.5,27.263285907402587,29.166660475524463
41.0,27.98996047489024,28.48639253961196
41.5,31.53170867394326,31.291263692861733
42.0,36.43831008840053,33.30303765190705
42.5,36.588881260367565,31.869325870250446
43.0,38.81672919156875,34.56923516880591
43.5,35.117420648921744,33.00316686439198
44.0,32.51944731890722,30.59582342259707
44.5,33.56490551877002,31.565613692973024
45.0,32.63070484606081,34.32412305093092
45.5,31.50972298581257,36.18060431691206
46.0,30.50348908527712,33.86678307455019
46.5,40.74875539300241,33.70700416248729
47.0,60.39993946755642,46.721168779242426
47.5,53.657527750711566,43.22457072808886
48.0,69.31729130144657,57.516839913086876
48.5,65.29732752147925,51.431489309614115
49.0,63.702701287624,47.642927358570645
49.5,48.466714124416576,40.50526039248051
50.0,62.46759661945091,48.72966573069521
50.5,84.53191837165694,69.48186640351604
51.0,63.261819401518295,49.633289592702305
51.5,43.12067239934812,35.71111951389946
52.0,33.17971173963203,32.928610362226166
52.5,53.27415745126499,43.67851887957435
53.0,42.92777284112619,32.00881898552497
53.5,59.42574707046948,48.756688861070266
54.0,52.9424143312553,45.69459971107503
54.5,79.6441151645047,63.72568050388907
55.0,59.07884969781317,48.11543799989353
55.5,50.87995951367834,40.961604099235444
56.0,75.66170839399174,65.18981232750227
56.5,64.691765750602,55.08992802493271
57.0,39.850357475983465,35.72138875618447
57.5,48.03539459391004,43.46155321972224
58.0,48.860815839745115,44.35516872201401
58.5,50.051124798646256,43.59518484450325
59.0,59.500915137321364,48.38511062896765
59.5,37.70064448270062,33.4048747870515
60.0,44.38123434814122,33.218085871038866
60.5,38.41708692698947,36.82414597249698
61.0,43.80235726622938,39.489017332099635
61.5,49.25781927936026,38.0807261078856
62.0,42.15984036464661,32.26724856856137
62.5,57.59756542887772,47.85885125398843
63.0,55.557607947523636,41.48300900817629
63.5,66.55549894804992,57.00467551195321
64.0,39.66217007400847,30.755809279104014
64.5,47.62838089664795,42.01262949920614
65.0,49.099363901346635,38.908058244237985
65.5,38.74254566068719,36.33327582856655
