time_ns,Rg,RMSD
0.0,161.79344856946466,162.12109031144274
0.5,54.45837189828086,48.77329221971473
1.0,44.7027794412567,45.27534556804441
1.5,35.85009059808042,32.30923374026514
2.0,44.69817233840458,43.44378460894441
2.5,36.05049933828429,34.48244029254837
3.0,44.375475473644045,44.10891563014198
3.5,34.14352195011872,33.732659520176746
4.0,34.86766910248689,34.50634559397565
4.5,32.24016247230763,32.615046144313375
5.0,33.741162259352656,32.544682605819794
5.5,29.760728410705585,32.40706668257563
6.0,26.543188281307202,26.20088555060991
6.5,38.90046083945329,38.23636052527815
7.0,41.40080610891265,39.53198561442166
7.5,33.501172238676475,33.46608156487945
8.0,34.60746178147923,35.48148708581617
8.5,36.82140857425534,38.015850480146
9.0,26.176357850522706,25.686559713553578
9.5,24.948999910145563,27.247215515565273
10.0,38.890134050723816,35.940069137659016
10.5,30.252476487234876,28.55429206746127
11.0,28.271336559108846,30.255174625776142
11.5,32.15170377737271,31.575169904897926
12.0,33.95165459479584,31.341786360524008
12.5,30.701318328726092,30.299687192828678
13.0,33.060274278206606,31.511033222317945
13.5,26.691963559214344,26.271065614060316
14.0,39.100898835222786,36.39812349789193
14.5,36.735755533772796,34.04809460652609
15.0,33.3388898601519,30.697191497729445
15.5,50.44388234565099,49.60352625658381
16.0,40.571552874092454,39.18630141636667
16.5,34.461185631844074,36.18857324760805
17.0,37.35837092560628,37.981590442672506
17.5,35.27808773787477,35.170466776992974
18.0,33.4735996314581,29.356692459569903
18.5,30.890197954121017,29.313930234220024
19.0,25.624216117900176,25.45214043790185
19.5,39.095044843083194,37.525874054668975
20.0,28.59582757951585,28.04108772237381
20.5,25.376216826317993,27.179162798361258
21.0,28.806903538526846,27.37535101546379
21.5,31.07930952030187,31.202537814063774
22.0,33.886041614361815,32.0884572861778
22.5,32.53863995501606,30.548637634386935
23.0,30.855365342420022,28.412642316533457
23.5,28.450340030411255,27.1270443327733
24.0,36.443000749078564,33.64762802091904
24.5,25.546579069014665,23.966762609676955
25.0,30.171684248378025,28.437083169374024
25.5,36.69381305358607,35.64720910219154
26.0,43.394851664019676,41.413811627215416
26.5,26.07125332432144,23.042680469451902
27.0,34.05845550729158,34.00098573622093
27.5,32.28528176014524,29.362014801814535
