time_ns,Pe
0.0,127.48239
0.09999999999999999,54.83334
0.19999999999999998,47.800756
0.3,49.058786
0.39999999999999997,50.625134
0.5,45.950847
0.6,27.265001
0.7,30.675775
0.7999999999999999,22.358013
0.8999999999999999,31.211451
1.0,16.281679
1.0999999999999999,7.377139
1.2,-10.05028
1.3,6.0068521
1.4,-20.408858
1.5,-11.834462
1.5999999999999999,-6.2512469
1.7,-14.590404
1.7999999999999998,-7.2976249
1.9,-24.522258
2.0,-18.81451
2.1,-12.866961
2.1999999999999997,-10.075093
2.3,-24.334684
2.4,-28.213473
2.5,-24.376964
2.6,-25.716539
2.6999999999999997,-33.582008
2.8,-34.074692
2.9,-47.980144
3.0,-33.667397
3.0999999999999996,-29.300679
3.1999999999999997,-27.929598
3.3,-40.346501
3.4,-30.786893
3.5,-2.146934
3.5999999999999996,-34.202541
3.6999999999999997,-35.242866
3.8,-17.659336
3.9,-23.689898
4.0,-31.655566
4.1,-37.474832
4.2,-38.656298
4.3,-52.626699
4.3999999999999995,-49.263544
4.5,-44.436218
4.6,-50.561506
4.7,-62.735772
4.8,-48.904045
4.8999999999999995,-31.740039
5.0,-38.764316
5.1,-33.966013
5.2,-35.420431
5.3,-39.553124
5.3999999999999995,-76.841312
5.5,-75.230414
5.6,-53.332916
5.7,-63.288377
5.8,-58.771303
5.8999999999999995,-60.802023
6.0,-37.990819
6.1,-36.221397
6.199999999999999,-41.477356
6.3,-37.836354
6.3999999999999995,-54.052453
6.5,-54.976021
6.6,-44.05717
6.699999999999999,-40.332677
6.8,-41.625077
6.8999999999999995,-41.853273
7.0,-52.881794
7.1,-48.758911
7.199999999999999,-51.343827
7.3,-47.789171
7.3999999999999995,-48.476384
7.5,-25.739807
7.6,-40.763103
7.699999999999999,-53.14545
7.8,-45.26729
7.8999999999999995,-50.939423
8.0,-60.467864
8.1,-65.552837
8.2,-55.03787
8.299999999999999,-51.448451
8.4,-37.972045
8.5,-49.073028
8.6,-56.801486
8.7,-41.119368
8.799999999999999,-37.408857
8.9,-36.828076
9.0,-46.550638
9.1,-30.487947
9.2,-43.658539
9.299999999999999,-46.272389
9.4,-36.657363
9.5,-45.64737
9.6,-43.295168
9.7,-32.059917
9.799999999999999,-34.15495
9.9,-23.117805
10.0,-28.501741
10.1,-49.664498
10.2,-47.164551
10.299999999999999,-37.112038
10.4,-41.16812
10.5,-43.398208
10.6,-36.434469
10.7,-39.087159
10.799999999999999,-54.399975
10.9,-58.014335
11.0,-44.480117
11.1,-54.740864
11.2,-62.546782
11.299999999999999,-57.821469
11.4,-34.254948
11.5,-35.051093
11.6,-39.298052
11.7,-44.610902
11.799999999999999,-43.467534
11.899999999999999,-59.378216
12.0,-48.265599
12.1,-48.499228
12.2,-40.503402
12.299999999999999,-33.283422
12.399999999999999,-27.755458
12.5,-18.591678
12.6,-35.925609
12.7,-36.704923
12.799999999999999,-58.190556
12.899999999999999,-45.733612
13.0,-43.38576
13.1,-45.433193
13.2,-62.72138
13.299999999999999,-31.846227
13.399999999999999,-25.374449
13.5,-21.056391
13.6,-9.3129167
13.7,-8.5236535
13.799999999999999,-18.059085
13.899999999999999,-28.940188
14.0,-18.369276
14.1,-32.446233
14.2,-17.898458
14.299999999999999,-21.617982
14.399999999999999,-35.521363
14.5,-40.60196
14.6,-31.110444
14.7,-43.159065
14.799999999999999,-50.908819
14.899999999999999,-46.910315
15.0,-36.349258
15.1,-23.706392
15.2,-20.662803
15.299999999999999,-25.091219
15.399999999999999,-27.251121
15.5,-12.72956
15.6,-8.8635754
15.7,-11.122965
15.799999999999999,-16.654364
15.899999999999999,-32.786636
16.0,-43.641901
16.099999999999998,-13.453808
16.2,3.8883554
16.3,-16.472856
16.4,-19.372669
16.5,-13.729722
16.599999999999998,-10.622698
16.7,-22.840324
16.8,-11.503868
16.9,-36.224424
17.0,-45.601475
17.099999999999998,-42.431926
17.2,-53.279215
17.3,-36.471817
17.4,-37.150832
17.5,-32.764746
17.599999999999998,-37.961933
17.7,-38.02159
17.8,-29.923534
17.9,-18.320599
18.0,-26.371225
18.099999999999998,-12.867312
18.2,-29.964928
18.3,-21.620531
18.4,-20.500599
18.5,-36.30521
18.599999999999998,-25.423459
18.7,-25.545078
18.8,-31.913147
18.9,-30.950084
19.0,-39.594011
19.099999999999998,-51.980119
19.2,-37.03322
19.3,-60.476308
19.4,-43.138433
19.5,-34.928772
19.599999999999998,-34.863742
19.7,-45.864825
19.8,-48.26954
19.9,-52.124817
20.0,-46.28754
20.099999999999998,-51.643991
20.2,-36.965667
20.3,-43.572361
20.4,-38.199343
20.5,-36.936404
20.599999999999998,-25.154474
20.7,-23.264453
20.8,-33.974164
20.9,-22.576459
21.0,-50.016668
21.099999999999998,-49.018039
21.2,-37.773714
21.3,-45.882732
21.4,-41.392235
21.5,-39.992794
21.599999999999998,-47.812136
21.7,-67.920907
21.8,-42.191523
21.9,-51.230069
22.0,-31.634482
22.099999999999998,-34.086599
22.2,-39.916787
22.3,-41.042256
22.4,-52.720165
22.5,-40.078449
22.599999999999998,-38.101449
22.7,-54.286907
22.8,-30.538284
22.9,-35.308771
23.0,-32.295671
23.099999999999998,-50.596867
23.2,-43.605679
23.3,-43.859902
23.4,-56.641215
23.5,-55.492201
23.599999999999998,-51.904792
23.7,-44.387816
23.799999999999997,-44.070528
23.9,-53.816756
24.0,-33.205785
24.099999999999998,-38.10791
24.2,-35.168513
24.299999999999997,-40.532385
24.4,-59.388103
24.5,-27.007205
24.599999999999998,-37.3296
24.7,-47.09194
24.799999999999997,-32.269607
24.9,-27.57807
25.0,-23.486328
25.099999999999998,-33.062989
25.2,-31.239135
25.299999999999997,-38.780181
25.4,-46.801158
25.5,-43.196639
25.599999999999998,-36.024042
25.7,-32.849304
25.799999999999997,-19.667159
25.9,-35.436651
26.0,-18.898239
26.099999999999998,-22.4235
26.2,-33.445773
26.299999999999997,-31.856727
26.4,-30.373202
26.5,-36.266766
26.599999999999998,-8.1453808
26.7,-16.552052
26.799999999999997,-27.568781
26.9,-7.5785704
27.0,-23.829437
27.099999999999998,-17.640058
27.2,-15.212768
27.299999999999997,-2.2687562
27.4,-11.167694
27.5,-31.797803
27.599999999999998,-29.831447
27.7,-21.725581
27.799999999999997,-10.933839
27.9,-21.241867
28.0,5.1665796
28.099999999999998,-2.6669543
28.2,-9.7625086
28.299999999999997,-14.987866
28.4,-11.720161
28.5,-6.5602546
28.599999999999998,-17.118594
28.7,-22.008873
28.799999999999997,-5.1969873
28.9,-32.004506
29.0,-4.6366971
29.099999999999998,0.67506004
29.2,-10.733172
29.299999999999997,-22.547043
29.4,-8.5918203
29.5,-11.625056
29.599999999999998,5.5033061
29.7,3.3235061
29.799999999999997,0.58328335
29.9,-7.3110185
30.0,-9.6536499
30.099999999999998,-0.55767838
30.2,1.3982973
30.299999999999997,-10.846859
30.4,4.7903705
30.5,-3.5661305
30.599999999999998,-10.799977
30.7,-5.9529703
30.799999999999997,1.1990066
30.9,-7.7500728
31.0,-21.850277
31.099999999999998,-15.965374
31.2,-9.6664256
31.299999999999997,-19.31814
31.4,-23.5312
31.5,-23.596358
31.599999999999998,-35.305517
31.7,-31.773895
31.799999999999997,-31.418002
31.9,-20.459762
32.0,-25.981963
32.1,-16.998327
32.199999999999996,-20.048096
32.3,-38.456245
32.4,-30.124485
32.5,-32.513484
32.6,-8.8385504
32.699999999999996,7.1326939
32.8,-6.9432596
32.9,-19.044676
33.0,-34.8161
33.1,-29.868166
33.199999999999996,-23.685263
33.3,-35.156278
33.4,-26.372458
33.5,-15.492164
33.6,-27.074907
33.699999999999996,-43.669902
33.8,-21.278634
33.9,-28.737084
34.0,-33.634816
34.1,-23.006232
34.199999999999996,-18.813684
34.3,-41.618687
34.4,-38.75785
34.5,-24.059306
34.6,-30.493786
34.699999999999996,-33.620684
34.8,-29.671714
34.9,-10.262317
35.0,-33.081645
35.1,-32.494219
35.199999999999996,-27.5797
35.3,-21.723915
35.4,-28.648574
35.5,-30.273995
35.6,-36.104617
35.699999999999996,-44.450444
35.8,-42.220954
35.9,-41.784684
36.0,-40.91032
36.1,-35.984153
36.199999999999996,-43.708794
36.3,-38.653676
36.4,-9.3251741
36.5,-28.165534
36.6,-41.183978
36.699999999999996,-47.074735
36.8,-29.770061
36.9,-21.663534
37.0,-49.143598
37.1,-36.375236
37.199999999999996,-36.385058
37.3,-29.847827
37.4,-21.668129
37.5,-25.828995
37.6,-13.323976
37.699999999999996,-30.257478
37.8,-34.907912
37.9,-21.497919
38.0,-27.828331
38.1,-35.868264
38.199999999999996,-28.749737
38.3,-45.763177
38.4,-34.989093
38.5,-37.368905
38.6,-40.887025
38.699999999999996,-18.955468
38.8,-10.528606
38.9,-27.202787
39.0,-37.600328
39.1,-29.349907
39.199999999999996,-27.816723
39.3,-43.139677
39.4,-25.484894
39.5,-30.60156
39.6,-20.568444
39.699999999999996,-29.342599
39.8,-18.212193
39.9,-27.756823
40.0,-36.105614
40.0,-36.105614
40.1,-25.685414
40.199999999999996,-25.793801
40.3,-45.42493
40.4,-29.325923
40.5,-27.490541
40.6,-11.543589
40.699999999999996,-37.905424
40.8,-12.943978
40.9,-28.185606
41.0,-39.161427
41.1,-40.315491
41.199999999999996,-28.44182
41.3,-37.886667
41.4,-34.325452
41.5,-33.424505
41.6,-25.137494
41.699999999999996,-32.066613
41.8,-32.046473
41.9,-26.244751
42.0,-40.717027
42.1,-45.519924
42.199999999999996,-11.368596
42.3,-16.406626
42.4,-31.505229
42.5,-14.069178
42.6,-23.713486
42.699999999999996,-40.22891
42.8,-50.440427
42.9,-58.399413
43.0,-44.13695
43.1,-44.517559
43.199999999999996,-38.897338
43.3,-10.976944
43.4,-21.707972
43.5,-7.3848622
43.6,-18.722603
43.699999999999996,5.0338297
43.8,-6.1825513
43.9,-0.18093834
44.0,-4.0515224
44.1,-17.716291
44.199999999999996,-23.79126
44.3,-34.158415
44.4,-24.698663
44.5,-20.353439
44.6,-13.394233
44.699999999999996,-19.661368
44.8,-15.266863
44.9,-28.198384
45.0,-21.237582
45.1,-15.875356
45.199999999999996,-25.306382
45.3,-31.959211
45.4,-33.396232
45.5,-42.09075
45.6,-38.936679
45.699999999999996,-37.122811
45.8,-28.878776
45.9,-24.180879
46.0,-23.753799
46.1,-23.528672
46.199999999999996,-23.284644
46.3,-15.130302
46.4,-13.826812
46.5,-27.527524
