step,pe,ke,temp
108000,-2.554146,25.80794,346.32116
109000,-10.000706,32.762663,439.64778
110000,-0.17192177,21.806168,292.6207
111000,-3.7158334,22.466777,301.48553
112000,-10.360852,29.766229,399.43812
113000,-2.8324888,23.298029,312.64024
114000,-9.3416795,29.830731,400.30368
115000,-7.9165639,25.857035,346.97997
116000,-7.7356721,19.101572,256.32726
117000,-3.3493136,16.172119,217.01643
118000,-16.276494,26.40871,354.383
119000,-15.80636,30.872524,414.28367
120000,-12.003767,24.182304,324.50647
121000,-10.477082,26.400704,354.27556
122000,-9.8729337,25.697048,344.83308
123000,-10.99106,26.227374,351.94961
124000,-1.8266384,21.715289,291.40118
125000,-10.143101,28.895016,387.74716
126000,-0.47962704,22.66887,304.19745
127000,1.3798536,21.060707,282.61723
128000,-8.1284272,28.722466,385.43168
129000,-11.222652,29.549033,396.52353
130000,-12.055936,30.365855,407.4846
131000,-4.5159994,21.746049,291.81395
132000,-2.9185054,23.252228,312.02562
133000,-6.8803033,26.06592,349.78304
134000,-8.4100717,26.734951,358.76089
135000,-3.3979567,18.827848,252.65411
136000,-11.019768,29.434515,394.98679
137000,-2.8762344,24.581646,329.86531
138000,-0.35800393,19.663553,263.86858
139000,-11.072653,26.343101,353.50258
140000,-8.1324458,21.101153,283.15998
141000,-14.200465,27.187262,364.83052
142000,-13.167319,27.74899,372.36845
143000,-10.509755,27.689107,371.56487
144000,-10.01993,22.86426,306.81942
145000,-8.2673102,20.202798,271.1048
146000,-14.296213,21.079188,282.86523
147000,-14.652229,23.343068,313.24463
148000,-14.161559,22.185427,297.71004
149000,-11.806985,17.888222,240.04512
150000,-9.9775772,18.226562,244.58536
151000,-14.999999,22.489631,301.7922
152000,-14.771205,21.276279,285.51002
153000,-12.686937,15.746518,211.30522
154000,-18.24523,23.836535,319.86654
155000,-19.719144,25.216322,338.38214
156000,-11.814601,18.295415,245.5093
157000,-14.082086,24.098346,323.37982
158000,-12.605874,22.887868,307.13622
159000,-13.68673,25.173276,337.8045
160000,-9.9179045,23.434251,314.46822
161000,-11.676328,20.145993,270.34253
162000,-14.513719,21.876141,293.55967
163000,-18.917821,21.632293,290.28744
164000,-17.179504,22.613258,303.45118
165000,-16.603557,24.088477,323.24739
166000,-16.149344,23.502217,315.38027
167000,-16.651242,23.816496,319.59763
168000,-12.974759,19.253336,258.36381
169000,-14.379634,20.828646,279.50317
170000,-15.346383,20.866052,280.00512
171000,-12.329652,21.844775,293.13878
172000,-10.907848,21.713187,291.37298
173000,-11.775651,21.942593,294.45141
174000,-13.557385,24.092415,323.30024
175000,-9.675126,20.980161,281.53637
176000,-20.109812,32.724301,439.13299
177000,-11.081635,24.555301,329.51179
178000,-11.502132,23.5937,316.60789
179000,-17.067112,26.990337,362.18794
180000,-10.62664,19.875059,266.70681
181000,-13.087286,19.558722,262.46184
182000,-14.852297,20.22269,271.37173
183000,-15.857141,22.784187,305.74491
184000,-12.618574,20.953377,281.17695
185000,-10.859476,19.882475,266.80634
186000,-14.421769,24.322678,326.39017
187000,-20.049657,28.833776,386.92538
188000,-12.486438,20.202852,271.10553
189000,-13.482995,19.399008,260.31861
190000,-18.646261,22.337771,299.75437
191000,-18.698203,20.943752,281.04779
192000,-15.764691,14.698253,197.23838
193000,-17.133396,17.950056,240.87488
194000,-18.706574,22.163508,297.41591
195000,-15.68902,19.85374,266.42073
196000,-13.555853,21.751508,291.88721
197000,-10.87091,20.725449,278.11834
198000,-5.7210642,22.23894,298.42814
199000,-6.1422293,20.830241,279.52457
200000,-5.8965012,21.894001,293.79935
201000,-4.0390542,19.915467,267.24906
202000,-10.091984,29.516117,396.08182
203000,-11.441828,27.847325,373.68801
204000,-5.7558633,23.840676,319.9221
205000,-6.8152126,27.317573,366.57918
206000,-8.5483792,30.394079,407.86335
207000,-5.0416773,30.63968,411.15911
208000,-4.1900118,25.081136,336.56806
209000,-7.0407712,26.526383,355.96207
210000,-12.84731,31.761631,426.21476
211000,-4.541167,24.605274,330.18238
212000,-11.01112,33.335326,447.33244
213000,-6.5926997,27.813435,373.23324
214000,-7.8171551,25.615838,343.74332
215000,-8.9539844,22.366431,300.13896
216000,-4.7920249,18.644553,250.19445
217000,-13.697705,30.572553,410.25831
218000,-10.062956,25.982333,348.66137
219000,-16.15126,32.254988,432.8352
220000,-7.9528775,21.754811,291.93153
221000,-7.6476294,23.110823,310.12809
222000,-11.540713,24.73422,331.91273
223000,-7.5896249,23.011384,308.7937
224000,-9.5750086,23.812606,319.54543
225000,-9.5078256,21.945908,294.49589
226000,-9.2967251,22.968411,308.21704
227000,-9.7132793,21.529097,288.90264
228000,-10.270921,19.70878,264.47549
229000,-10.353639,18.966951,254.52076
230000,-16.845996,25.206281,338.2474
231000,-15.959388,25.609861,343.66311
232000,-11.548456,17.764636,238.38669
233000,-10.158119,18.621123,249.88003
234000,-10.426665,18.21334,244.40793
235000,-14.448846,20.126655,270.08302
236000,-13.694262,17.044033,228.71679
237000,-17.573524,17.165569,230.34771
238000,-21.4052,18.772029,251.90507
239000,-19.412249,18.754754,251.67325
240000,-19.61411,19.604463,263.07564
241000,-16.123028,20.393459,273.66331
242000,-18.336718,23.632883,317.1337
243000,-15.921787,23.376234,313.68969
244000,-17.690623,28.21002,378.55509
245000,-16.095986,25.615832,343.74324
246000,-18.582828,27.473788,368.67546
247000,-10.02782,20.047981,269.02728
248000,-9.3177825,17.54842,235.48525
249000,-14.098752,22.601843,303.298
250000,-14.916095,23.095292,309.91968
251000,-11.552336,23.147797,310.62425
252000,-13.352119,23.904424,320.77755
253000,-14.416115,24.352105,326.78507
254000,-12.801288,24.633152,330.55648
255000,-13.231473,24.747672,332.09324
256000,-14.023291,29.882513,400.99855
257000,-13.531656,25.988043,348.73799
258000,-20.134029,28.397966,381.07716
259000,-13.010292,22.67618,304.29554
260000,-6.5961563,17.862911,239.70546
261000,-16.300198,25.14016,337.36011
262000,-11.002036,23.646564,317.31729
263000,-8.5168047,22.659571,304.07267
264000,-12.7044,25.372659,340.48005
265000,-11.884935,23.781898,319.13335
266000,-13.363194,25.068812,336.40267
267000,-14.537102,21.575827,289.52971
268000,-12.508429,22.115211,296.7678
269000,-17.705056,26.051085,349.58397
270000,-8.9352388,20.923153,280.77136
271000,-10.224495,20.425665,274.09549
272000,-11.397912,22.313281,299.42574
273000,-12.932549,23.414237,314.19965
274000,-13.50414,20.599239,276.42471
275000,-12.18545,17.945519,240.814
276000,-9.7803135,19.259776,258.45023
277000,-13.009172,23.255938,312.07541
278000,-15.025552,27.592419,370.26739
279000,-8.1368865,21.962919,294.72416
280000,-6.0585782,22.382228,300.35094
281000,-4.3414115,21.054557,282.5347
282000,-8.9671412,23.420207,314.27976
283000,-15.965632,28.007805,375.84152
284000,-7.4265491,19.692165,264.25254
285000,-8.6083886,21.486035,288.32478
286000,-14.341893,24.024075,322.38317
287000,-15.17084,20.611173,276.58486
288000,-19.511897,26.275622,352.59706
289000,-15.93202,18.7682,251.85368
290000,-15.674081,17.987304,241.37471
291000,-15.420662,18.739645,251.4705
292000,-13.209598,19.812562,265.86816
293000,-14.878714,21.613125,290.03023
294000,-13.4391,19.845295,266.30741
295000,-9.3043117,18.423211,247.22421
296000,-15.668931,24.143934,323.99158
297000,-15.644498,23.654879,317.42886
298000,-13.743751,23.815174,319.5799
299000,-7.0407114,20.454915,274.48801
300000,-9.2548332,22.127418,296.93161
301000,-14.36659,27.195127,364.93606
302000,-16.827769,28.558241,383.22792
303000,-9.330525,24.448311,328.07607
304000,-8.378101,26.061948,349.72974
305000,-11.519961,28.516159,382.66321
306000,-5.5343328,23.1795,311.04967
307000,-7.7012462,28.131711,377.50424
308000,-10.308491,27.787884,372.89037
309000,0.90594209,22.006213,295.30513
310000,-1.1252472,23.314757,312.86471
311000,-4.5744963,28.222845,378.72719
312000,-3.3747867,26.573855,356.59911
313000,-7.5413485,31.545509,423.31459
314000,-2.5420468,26.631359,357.37076
315000,-2.4359043,27.960872,375.21172
316000,-7.0550502,30.078374,403.62685
317000,-5.8357669,27.550881,369.70998
318000,-11.217162,28.410337,381.24317
319000,-1.0667076,19.779664,265.42669
320000,-7.6561079,28.536161,382.93163
321000,-4.1425243,24.467702,328.33628
322000,-2.9831484,25.130194,337.22637
323000,-2.2799563,22.364416,300.11192
324000,-11.181724,29.862432,400.72908
325000,-8.5634237,25.778358,345.9242
326000,-17.746586,28.816188,386.68936
327000,-11.446048,22.683505,304.39383
328000,-8.5021647,20.011847,268.5424
329000,-15.291121,24.00915,322.18289
330000,-15.87834,27.56211,369.86068
331000,-16.030027,26.127841,350.61397
332000,-15.099829,18.82562,252.62421
333000,-17.111488,23.634421,317.15434
334000,-13.21929,21.009633,281.93187
335000,-16.774994,25.578307,343.23967
336000,-24.137353,30.831157,413.72857
337000,-17.580523,25.859527,347.01342
338000,-17.099756,25.3431,340.08339
339000,-9.3616686,17.417309,233.72585
340000,-15.24552,21.713623,291.37882
341000,-13.211022,19.979397,268.10694
342000,-18.115103,23.812424,319.54299
343000,-14.027782,22.340242,299.78752
344000,-8.3251381,20.381726,273.50587
345000,-14.16564,30.734684,412.43398
346000,-7.0311834,22.275057,298.9128
347000,-9.6603699,24.085514,323.20763
348000,-13.145597,28.149554,377.74368
349000,-9.247607,21.63422,290.3133
350000,-14.281447,29.037954,389.66527
351000,-5.8079292,20.256144,271.82066
352000,-14.740223,26.860856,360.45042
353000,-11.371439,24.285121,325.88619
354000,-8.8313624,20.219702,271.33164
355000,-16.947531,29.712375,398.71544
356000,-12.174906,22.025848,295.56862
357000,-14.211126,22.321636,299.53785
358000,-10.220432,19.30432,259.04797
359000,-12.624179,27.421583,367.97491
360000,-12.622928,29.505309,395.93679
361000,-9.1808849,21.78491,292.33544
362000,-5.2709793,19.347877,259.63247
363000,-10.753832,25.184024,337.94873
364000,-3.6191551,26.214396,351.77546
365000,-8.6275811,27.351416,367.03333
366000,-3.0063821,21.02511,282.13955
367000,-9.8073832,28.541516,383.00349
368000,-10.557386,28.285869,379.57291
369000,-6.6558394,25.753364,345.58879
370000,0.24599041,20.690443,277.64859
371000,1.3443063,21.201789,284.51043
372000,-6.8828528,27.937144,374.89331
373000,-2.8873116,20.83642,279.60748
374000,-14.880359,29.140012,391.0348
375000,-7.0119452,21.624301,290.18019
376000,-13.697319,28.337928,380.27151
377000,-8.2888027,22.694537,304.54188
378000,-8.8660007,22.646797,303.90124
379000,-12.703559,23.190684,311.19976
380000,-12.434917,22.840877,306.50564
381000,-10.123523,18.545301,248.86257
382000,-7.4589806,14.853467,199.32122
383000,-10.284941,19.084726,256.1012
384000,-13.109582,26.120059,350.50954
385000,-11.29628,21.367543,286.73471
386000,-8.2741381,23.842782,319.95037
387000,-10.024933,24.081495,323.1537
388000,-10.028861,24.202068,324.77169
389000,-11.375538,25.319655,339.76878
390000,-7.9079166,21.951537,294.57144
391000,-11.740411,25.178545,337.8752
392000,-10.271584,21.883543,293.65901
393000,-12.922489,23.713031,318.20922
394000,-7.3931525,20.510697,275.23655
395000,-10.245613,22.916967,307.5267
396000,-10.913392,27.29,366.20918
397000,-15.561657,30.503713,409.33454
398000,-15.282253,31.512141,422.86681
399000,-6.6252455,23.525261,315.6895
400000,-6.4763537,25.908219,347.66683
401000,-14.990609,33.353375,447.57464
402000,-6.534996,20.870324,280.06245
403000,-5.5592453,17.379404,233.2172
404000,-8.9703827,21.534628,288.97686
405000,-15.84005,28.756021,385.88197
406000,-13.617476,27.346894,366.97265
407000,-12.745164,26.494927,355.53996
408000,-8.6058014,24.709858,331.58582
409000,-8.6529055,21.82556,292.88093
410000,-12.989573,24.933047,334.58083
411000,-13.179717,23.333311,313.11369
412000,-18.763152,30.154087,404.64285
413000,-4.6861742,18.444481,247.50964
414000,-9.6840431,26.142441,350.80989
415000,-12.008581,25.18626,337.97873
416000,-9.2161328,26.794678,359.56237
417000,-9.2137175,25.43633,341.33447
418000,-9.6386536,27.379281,367.40725
419000,-5.6917814,26.14491,350.84302
420000,-4.7072353,25.424908,341.18119
421000,0.90600508,21.716386,291.4159
422000,0.12616096,23.353584,313.38574
423000,-3.6114038,28.486979,382.27165
424000,0.47749233,24.489146,328.62404
425000,-6.5592553,29.0666,390.04968
426000,-5.6006162,28.661931,384.61935
427000,-6.4666095,27.268844,365.92528
428000,-0.029482362,18.859674,253.08119
429000,-0.42075302,21.384285,286.95938
430000,-4.6394599,23.243896,311.91382
431000,-2.2835326,23.649841,317.36126
432000,-4.9756518,27.95469,375.12877
433000,1.8201284,19.732138,264.78894
434000,-4.6664845,23.030679,309.05262
435000,-9.3137596,26.769202,359.2205
436000,-11.382096,29.619494,397.46906
437000,-6.670175,25.372161,340.47337
438000,-5.0928515,21.669585,290.78786
439000,-7.9853265,23.962424,321.55587
440000,-9.7397074,28.028523,376.11954
441000,-0.5893363,20.810508,279.25976
442000,-3.475184,23.966789,321.61444
443000,-1.8083896,23.921458,321.00614
444000,-5.4920854,30.000381,402.58025
445000,-2.5715766,26.281657,352.67805
446000,-2.1397532,24.02016,322.33064
447000,0.86990441,24.054342,322.78933
448000,-4.405991,26.736214,358.77783
449000,-5.4234339,28.543847,383.03477
450000,5.2499405,19.85398,266.42396
451000,0.78553691,21.491111,288.3929
452000,2.6383595,20.186793,270.89002
453000,-9.7999857,29.801827,399.91582
454000,-5.9588106,27.551252,369.71496
455000,-6.0386928,28.529727,382.84529
456000,-7.3076984,26.818398,359.88067
457000,-8.0267058,24.351112,326.77173
458000,-9.3280787,26.388156,354.10718
459000,-8.1413406,28.190198,378.28909
460000,0.23363415,20.232623,271.50503
461000,-3.2723536,22.709256,304.73939
462000,-5.2664787,23.308384,312.77919
463000,-5.1702756,21.335333,286.30248
464000,-4.8063667,18.314702,245.76812
465000,-9.3110289,23.512868,315.5232
466000,-6.170382,18.830912,252.69523
467000,-16.696495,27.448574,368.33711
468000,-13.962956,21.700944,291.20868
469000,-14.368441,22.463651,301.44358
470000,-17.077512,21.045766,282.41673
471000,-20.008523,23.198252,311.30131
472000,-13.780395,16.613335,222.93718
473000,-18.954971,17.181131,230.55654
474000,-17.18453,17.739904,238.05481
475000,-17.082843,19.07836,256.01578
476000,-18.925255,21.706779,291.28698
477000,-17.593232,21.604387,289.91297
478000,-12.220822,17.467396,234.39798
479000,-13.820331,18.536289,248.74164
480000,-13.206376,21.051712,282.49653
481000,-13.655987,23.085605,309.78968
482000,-15.134609,25.813309,346.39321
483000,-8.1714573,21.931802,294.30661
484000,-10.116831,22.838903,306.47915
485000,-14.055217,23.77301,319.01409
486000,-8.257264,19.767857,265.26825
487000,-11.887926,24.881653,333.89116
488000,-10.68558,26.836636,360.12541
489000,-6.8575222,24.7701,332.39421
490000,-15.13535,27.461129,368.50558
491000,-10.761161,22.339783,299.78137
492000,-4.2120864,16.694484,224.02613
493000,-8.7245895,20.41713,273.98096
494000,-3.2759631,18.374005,246.56392
495000,-9.4370953,25.057678,336.25326
496000,-10.801868,24.532249,329.20245
497000,-8.2345952,19.473303,261.31559
498000,-8.114729,16.254628,218.12364
499000,-11.296584,19.079414,256.02993
500000,-19.40098,27.005785,362.39525
501000,-10.025782,20.236279,271.55409
502000,-6.5157604,18.575294,249.26505
503000,-11.151111,22.101308,296.58123
504000,-10.811096,22.461676,301.41708
505000,-15.215974,22.966611,308.19289
506000,-13.427686,20.022465,268.68489
507000,-11.250343,18.771478,251.89767
508000,-14.543401,20.176964,270.75813
509000,-15.648102,22.033518,295.67155
510000,-15.443488,22.720314,304.88779
511000,-8.0023203,19.55758,262.44652
512000,-8.7975608,19.793133,265.60744
513000,-15.140655,22.399816,300.58697
514000,-11.577883,19.360211,259.79799
515000,-14.302116,24.056221,322.81455
516000,-13.188071,19.864335,266.56291
517000,-13.213677,19.405913,260.41126
518000,-11.02697,15.998896,214.69192
519000,-13.509014,19.229499,258.04394
520000,-13.332598,23.060526,309.45315
521000,-6.4239017,21.017405,282.03615
522000,-14.153456,25.659315,344.32673
523000,-6.7796959,16.278789,218.44786
524000,-8.3584311,22.356141,300.00089
525000,-4.6558241,22.107977,296.67073
526000,-7.3120237,25.780715,345.95583
527000,-5.2718791,23.745925,318.65063
528000,-1.5073438,21.163174,283.99226
529000,-7.5398693,27.831758,373.47912
530000,-4.382247,22.844122,306.54919
531000,-6.5125436,24.77789,332.49874
532000,-6.0883867,21.572093,289.47961
533000,-11.549841,25.072714,336.45504
534000,-1.550527,18.755184,251.67902
535000,-10.523568,29.923388,401.54706
536000,-7.6630321,26.907563,361.07719
537000,-6.474048,27.550654,369.70694
538000,-9.6812122,31.140237,417.87616
539000,-9.5290388,30.995121,415.92883
540000,-4.6636781,23.961173,321.53908
541000,-4.1568841,24.773651,332.44186
542000,-6.0186326,26.68235,358.05502
543000,-5.4708861,24.806642,332.88458
544000,-8.5912427,22.84753,306.59491
545000,-5.7974383,19.414769,260.53011
546000,-7.2410362,25.037422,335.98145
547000,-3.8461829,20.965423,281.33859
548000,-9.2805913,22.07305,296.20203
549000,-14.415092,26.559141,356.40165
550000,-12.493816,23.271612,312.28574
551000,-11.58976,22.892927,307.2041
552000,-12.168591,23.7579,318.81132
553000,-9.7261438,22.24464,298.50463
554000,-8.754624,21.791554,292.42459
555000,-14.486901,27.567333,369.93075
556000,-10.302691,21.369111,286.75576
557000,-8.7732818,21.770614,292.1436
558000,-16.544809,30.047571,403.2135
559000,-10.731314,26.531499,356.03073
560000,-11.011986,24.314446,326.27971
561000,-11.685971,22.137461,297.06638
562000,-14.834205,24.91557,334.34629
563000,-10.223158,20.470868,274.70208
564000,-11.272851,20.632824,276.8754
565000,-4.9884061,15.996088,214.65424
566000,-11.896143,27.910476,374.53546
567000,-9.0479947,23.977474,321.75782
568000,-9.2803971,26.436458,354.75536
569000,-7.2194796,24.248374,325.39308
570000,-11.381359,24.932623,334.57514
571000,-6.682419,17.672565,237.15117
572000,-12.323991,22.435518,301.06605
573000,-10.883206,20.711425,277.93016
574000,-15.108855,23.257913,312.10191
575000,-12.810585,21.354521,286.55998
576000,-10.534186,18.478615,247.9677
577000,-12.208711,17.252321,231.51184
578000,-14.615742,19.644908,263.61838
579000,-10.900446,18.48585,248.06478
580000,-12.094958,19.824348,266.02631
581000,-14.357579,20.529658,275.49099
582000,-11.288449,18.192008,244.12167
583000,-19.065359,24.102872,323.44056
584000,-14.021782,18.236296,244.71597
585000,-16.230341,18.888038,253.46182
586000,-15.948461,20.071154,269.33824
587000,-18.292225,21.536451,289.00133
588000,-18.959465,23.54032,315.89159
589000,-20.261069,25.823764,346.53351
590000,-14.787544,21.518072,288.75469
591000,-20.410029,26.090291,350.11008
592000,-17.955549,20.527248,275.45866
593000,-11.9173,19.246346,258.27001
594000,-15.141287,21.84697,293.16823
595000,-12.678175,20.173216,270.70783
596000,-13.221759,17.606781,236.2684
597000,-18.51454,26.047872,349.54085
598000,-12.089864,19.509183,261.79706
599000,-16.727428,25.782945,345.98575
600000,-11.586981,21.203718,284.53632
601000,-13.53995,20.49871,275.07569
602000,-19.215069,28.168978,378.00434
603000,-12.784916,22.655606,304.01945
604000,-6.0920915,16.70716,224.19624
605000,-14.835978,25.912331,347.722
606000,-17.384864,24.175474,324.41481
607000,-13.883735,22.280227,298.98218
608000,-14.544179,25.15535,337.56395
609000,-11.836742,23.577542,316.39107
610000,-13.6941,23.126702,310.34117
611000,-15.998572,25.919996,347.82485
612000,-15.363238,21.709175,291.31913
613000,-14.394405,21.08634,282.9612
614000,-14.99175,21.214193,284.67689
615000,-7.8704278,19.85726,266.46797
616000,-11.039634,21.13647,283.63391
617000,-12.235324,24.923372,334.45099
618000,-8.3104712,16.751001,224.78455
619000,-14.024016,20.308244,272.5198
620000,-13.781722,20.289335,272.26606
621000,-11.016083,13.743357,184.42446
622000,-11.01547,13.328586,178.85857
623000,-14.142188,16.398527,220.05464
624000,-20.058358,24.275256,325.75381
625000,-16.591659,21.893454,293.79201
626000,-14.190817,20.273427,272.05259
627000,-8.600113,16.672299,223.72844
628000,-12.584588,24.938447,334.65329
629000,-13.827967,28.058545,376.52242
630000,-11.186477,27.721994,372.00618
631000,-7.9186463,24.78387,332.57899
632000,-6.4752717,22.493456,301.84353
633000,-4.4290694,21.122888,283.45165
634000,-12.4206,27.10019,363.66208
635000,-10.0531,23.789577,319.23641
636000,-9.0398297,22.856343,306.71318
637000,-9.0561224,21.155469,283.88886
638000,-11.916355,19.404636,260.39412
639000,-15.19005,21.396196,287.11921
640000,-13.085423,19.385271,260.13427
641000,-15.107587,18.121146,243.17075
642000,-17.542846,23.425443,314.35003
643000,-16.98738,24.212788,324.91554
644000,-13.137388,22.273231,298.8883
645000,-12.349616,21.706345,291.28116
646000,-16.516191,27.207927,365.10783
647000,-15.363505,25.775932,345.89164
648000,-12.831244,21.732977,291.63853
649000,-8.229763,16.125958,216.39699
650000,-10.835213,18.826223,252.63231
651000,-13.367194,20.424903,274.08527
652000,-17.786164,24.506717,328.85983
653000,-11.993058,16.694598,224.02767
654000,-16.316245,21.50164,288.53419
655000,-11.116792,20.494212,275.01534
656000,-7.5884846,18.591952,249.48859
657000,-8.8295483,20.481089,274.83923
658000,-7.2766751,24.06761,322.96738
659000,-7.2742259,24.257034,325.50928
660000,-8.4848899,22.428987,300.97841
661000,-9.6284483,21.93961,294.41138
662000,-12.644449,21.763223,292.04442
663000,-11.285042,20.663335,277.28483
664000,-9.0172238,20.315161,272.61262
665000,-11.844517,24.490664,328.64441
666000,-16.037697,27.191045,364.88128
667000,-11.3158,21.430169,287.57511
668000,-8.6801481,21.096827,283.10194
669000,-10.303484,25.838348,346.72921
670000,-2.3293779,20.668136,277.34926
671000,-9.1025608,28.929626,388.2116
672000,-11.787636,29.110383,390.63721
673000,-9.6088921,25.43175,341.273
674000,-8.6775514,25.073629,336.46731
675000,-9.4715134,24.689219,331.30886
676000,-12.233516,25.683497,344.65124
677000,-11.639071,23.464358,314.87223
678000,-5.2142018,17.130605,229.87851
679000,-9.9867461,23.962553,321.5576
680000,-11.612301,24.618913,330.36541
681000,-9.1439991,24.44962,328.09364
682000,-9.3872575,26.605198,357.01971
683000,-9.1681234,27.737344,372.21216
684000,-8.3878746,29.328661,393.56632
685000,-6.5255997,23.203355,311.36979
686000,-6.3796045,25.680495,344.61095
687000,-6.8195814,24.3378,326.5931
688000,-5.0022405,19.565113,262.5476
689000,-10.490831,23.347954,313.31019
690000,-10.160171,26.460494,355.0779
691000,-3.8400568,23.032446,309.07634
692000,-5.0868144,22.641009,303.82357
693000,-1.886099,18.414505,247.1074
694000,2.956458,16.082385,215.81227
695000,-0.17861645,22.667492,304.17896
696000,-3.4884789,22.846458,306.58053
697000,-1.7780939,21.573507,289.49858
698000,-7.1774713,25.985944,348.70983
699000,-8.6027594,21.083604,282.92449
700000,-4.7461761,17.998581,241.52604
701000,-5.1848075,19.114238,256.49723
702000,-5.7428083,19.064526,255.83013
703000,-10.056521,20.999199,281.79184
704000,-10.951948,20.623713,276.75314
705000,-12.58949,24.75775,332.22848
706000,-5.9284808,22.99618,308.58967
707000,-11.371894,27.037468,362.82041
708000,-11.269222,28.10223,377.10863
709000,-10.463273,28.945316,388.42215
710000,-10.037501,31.322284,420.31909
711000,-4.2399683,28.960416,388.62478
712000,-8.9006244,30.046171,403.19471
713000,-4.115399,28.082243,376.84043
714000,-0.83076646,22.269539,298.83875
715000,-7.3591912,29.976388,402.25828
716000,-6.4683753,29.808881,400.01047
717000,-8.4211326,28.970362,388.75824
718000,-11.119925,27.278978,366.06127
719000,-9.1687718,22.306509,299.33487
720000,-11.476115,23.353007,313.378
721000,-13.711189,26.409083,354.388
722000,-9.9496824,19.829112,266.09024
723000,-12.654196,21.841163,293.0903
724000,-6.7123035,16.058683,215.49421
725000,-10.042065,19.580391,262.75262
726000,-10.481305,20.708341,277.88877
727000,-15.358449,28.21236,378.58649
