time_ns,Rg_reg,Rg_enh,dRg,RMSD_reg,RMSD_enh,dRMSD
0.0,161.79344856946466,161.79344856946466,0.0,162.12109031144274,162.12109031144274,0.0
0.5,58.921510047689445,54.45837189828086,-4.463138149408586,53.31252629552099,48.77329221971473,-4.539234075806256
1.0,36.68280259610639,44.7027794412567,8.01997684515031,35.30220614026402,45.27534556804441,9.973139427780389
1.5,60.83363813760891,35.85009059808042,-24.983547539528487,60.55410542062323,32.30923374026514,-28.244871680358088
2.0,44.89552351307978,44.69817233840458,-0.19735117467519814,41.7863014593188,43.44378460894441,1.6574831496256124
2.5,45.69478496099487,36.05049933828429,-9.644285622710584,43.22698507572688,34.48244029254837,-8.744544783178512
3.0,48.37622203752713,44.375475473644045,-4.000746563883084,47.73225603857799,44.10891563014198,-3.6233404084360075
3.5,31.499524030649624,34.14352195011872,2.6439979194690935,33.31384770585575,33.732659520176746,0.41881181432099623
4.0,29.12696059492188,34.86766910248689,5.740708507565014,32.06246224800239,34.50634559397565,2.443883345973262
4.5,29.79315827126002,32.24016247230763,2.447004201047612,32.59328362257045,32.615046144313375,0.021762521742921592
5.0,36.216542071911945,33.741162259352656,-2.4753798125592894,36.94967071271671,32.544682605819794,-4.404988106896916
5.5,36.4963419453867,29.760728410705585,-6.735613534681118,34.9666751825634,32.40706668257563,-2.5596084999877675
6.0,32.19615020629322,26.5431882813072,-5.65296192498602,33.57892285895787,26.20088555060991,-7.378037308347956
6.5,44.70576204956385,38.90046083945329,-5.805301210110564,46.58752194502131,38.23636052527815,-8.351161419743157
7.0,29.58540202186259,41.40080610891265,11.815404087050059,28.64852616954921,39.53198561442166,10.883459444872447
7.5,49.73751366961457,33.501172238676475,-16.236341430938097,48.1794906436755,33.46608156487945,-14.713409078796047
8.0,36.18590265144544,34.60746178147923,-1.578440869966208,36.77690712481367,35.48148708581617,-1.2954200389974986
8.5,32.626139622275005,36.82140857425534,4.1952689519803315,31.549188647130958,38.015850480146,6.466661833015042
9.0,44.884576826515016,26.176357850522702,-18.708218975992313,46.26106550852409,25.686559713553574,-20.574505794970516
9.5,29.53856801961735,24.948999910145563,-4.589568109471788,29.45293387358569,27.247215515565276,-2.2057183580204125
