time_ns,Rg,RMSD
0.0,340.63240083703135,331.64346420721574
0.5,188.54105546345934,179.72446094802973
1.0,136.25075370236596,123.37554885582763
1.5,121.88250352459188,112.01966180468285
2.0,123.63092518191586,109.5932096102764
2.5,118.48590473235657,102.66778620515569
3.0,98.31442603212626,88.3414545241475
3.5,59.189001669130356,56.79208093992134
4.0,59.54601779893261,50.11293312677676
4.5,62.48878265685635,53.92796773757875
5.0,59.27297172438877,62.01144941715499
5.5,58.9349224224772,56.91769951495567
6.0,54.573302214568244,61.45409622035141
6.5,60.12297311613437,65.71175605130603
7.0,47.532806160043386,47.87185214500147
7.5,37.45888708057902,42.0364185488613
8.0,50.49340649640561,54.66278693137104
8.5,37.87655731530232,49.52745330557212
9.0,45.21525371731088,53.78737884417766
9.5,41.69246429447351,43.7070270425144
10.0,46.627758554370835,40.06306944423473
10.5,49.277555005125855,44.34999041138739
11.0,65.62695316908555,60.39978937039138
11.5,76.77798252388413,60.343949580827044
12.0,68.32020990337575,65.29591622102903
12.5,63.31391996335749,58.62725818177993
13.0,49.49019003829022,45.17453568065693
13.5,57.72822733486222,52.06869665177441
14.0,62.738241593458405,58.87158246831489
14.5,71.57530942955015,64.80142044913195
15.0,69.4261369101656,52.19578055175569
15.5,61.09070889601711,45.31031281225861
16.0,68.93031196401179,52.01046350703366
16.5,71.11343565713896,57.4278921948454
17.0,78.83415450277234,63.62453936702665
17.5,77.13771642677153,59.33372171676231
18.0,71.27618921775654,63.716030919091466
18.5,74.82343566109465,67.29813909051434
19.0,73.2310310694716,64.70772590366542
19.5,61.442543881478954,60.11022306622716
20.0,57.055636057217896,48.096045454637
20.5,55.625327479561605,43.25413912281917
21.0,49.39420082589118,43.651014853506915
21.5,46.076265945030876,35.792437609251266
22.0,39.47251987252208,37.96348745519068
22.5,46.479491273227524,38.89931330212286
23.0,54.17649071213709,43.280067288636694
23.5,49.28605044141047,53.77856767328391
24.0,51.48292069373861,51.73793084495945
24.5,67.08680563585956,67.50359862286096
25.0,60.225189793436314,59.537775940112866
25.5,72.74804300651606,69.32654448355167
26.0,63.39348030010582,62.59290413076914
26.5,49.884296033178416,58.11438079740167
27.0,60.23756101173107,43.91567439338131
27.5,49.707580623943535,38.67447843286218
28.0,47.33330860852243,40.08624963324185
28.5,61.406765043837325,47.4659366010034
29.0,60.28559445169875,46.57182651707751
29.5,64.71990769838239,51.88418770558465
30.0,55.30327901170578,51.00490451087084
30.5,51.86827834061688,44.92487259486226
31.0,52.214667265099955,46.65618766778177
31.5,55.625553667404894,41.62961683221956
32.0,55.684750274365356,44.43875228523567
32.5,70.12565661355524,55.20578872827363
33.0,90.17284113000606,72.2135953512933
33.5,70.47884280024161,57.565011025166015
34.0,68.55294890178789,54.078993730496066
34.5,60.34525104963864,58.55649099621572
35.0,53.9375891058906,47.74189397964721
35.5,50.95503513634317,38.29545236629325
36.0,57.01461468045856,45.400771498902714
36.5,44.95225179122683,40.03888694749917
37.0,62.16798902533743,45.31876223558541
37.5,64.0556793912905,44.330559881256555
38.0,58.53635771805406,47.602080458456534
38.5,57.09758073083147,41.45473244208599
39.0,57.227684142195926,52.15428710113465
39.5,65.74375590644253,48.516161449180984
40.0,65.3431320794753,51.329062491629045
40.5,83.77386668022325,66.72229440652764
41.0,77.35122727244791,62.96812575461264
41.5,81.24806228223946,63.47233743668206
42.0,65.15691817236896,50.92039733008026
42.5,57.65740168962392,55.327770339940976
43.0,58.29827386275763,46.32417013808599
43.5,62.50120244573667,42.98740266905034
44.0,54.38830949571452,38.78134936623003
44.5,52.25039363553159,40.637506294799245
45.0,45.59436216493326,36.45515587548086
45.5,57.10778590320555,40.94180055041779
46.0,59.1112204779085,45.24894234477167
46.5,43.94357087726458,37.96680960294175
47.0,63.39369722897234,46.21124938039141
47.5,43.86876718165652,48.47596731941012
48.0,48.29721229425906,48.33763330353563
48.5,49.87362892849765,48.99267770579577
49.0,60.175429674964946,42.46225866065877
49.5,49.833968570383206,44.866502291255834
50.0,54.34571860121446,57.73277660195997
50.5,62.585966339712265,54.234273760608986
51.0,50.47761250053818,43.92748303685453
51.5,57.00266352921945,51.637103246502406
52.0,48.30284762641807,46.27963700001099
52.5,48.31409652388325,44.34289030781396
53.0,49.25828037622895,40.48359583376413
53.5,50.12394403810715,37.88907502106381
54.0,53.50450537143579,46.257999921483716
54.5,66.86064515388287,59.265710905037984
55.0,72.61517029730798,62.47956449312943
55.5,66.98065132594691,54.27056192861299
56.0,48.8179458019402,44.44778738997554
56.5,55.79959117669728,49.10126930571147
57.0,59.47455037840195,52.56342351902377
57.5,65.7809216772293,57.57005685113564
58.0,53.53578027159307,50.3324396795096
58.5,54.00987220489497,41.80344335314299
59.0,53.18741904058741,44.344297063292295
59.5,53.74924007092429,45.82822084350954
60.0,51.93313408096184,47.19434627589248
60.5,48.005819668125504,43.40485103446226
61.0,62.47683849766961,51.86057871522389
61.5,50.604651835460224,50.54856551210206
62.0,49.123365377907554,50.87451403691116
62.5,47.406258008759956,47.20181329892153
63.0,58.97796827412034,49.96081860399248
63.5,77.92066240178677,63.775919661920504
64.0,105.04174779300935,92.7590255938366
64.5,72.52258413915489,66.04801384260111
65.0,66.62621047350676,60.80530907958073
65.5,69.91215772912425,52.50601821762647
66.0,63.73036475318999,56.256043209154505
66.5,69.04314710576453,63.655660003036914
67.0,69.36668588299537,58.727636977221785
67.5,85.85383089125003,70.08519124667616
68.0,80.6828393990179,62.85361696560998
68.5,75.17340306044345,54.46045947419365
69.0,78.5924756234978,65.49727994727571
69.5,54.88045019992272,45.136536058910686
70.0,55.892956951093446,52.98929209455581
70.5,64.93233097858261,51.142132521734496
71.0,64.41567038580813,56.21381975877485
71.5,69.88661280108232,63.661419045561765
72.0,92.84300901864495,84.83651653369458
72.5,97.21494912968362,92.48571676583533
73.0,94.76446056832143,84.24685909402024
73.5,107.26296571440713,95.05066154207057
74.0,91.52300607477089,71.20171667846313
74.5,112.81707815262358,104.3896635492349
75.0,134.46910779661044,126.15777759371358
75.5,142.42127707003746,130.76243122589904
