name,dat,traj,frames,duration_ns,aso_beads,n_aso_total,box_lx_A,box_ly_A,box_lz_A,volume_L,encounter_beads,binding_beads,encounter_frac,mean_occupancy,max_occupancy,figure,summary,f_site_com_10,kd_molar_com_10,n_events_com_10,n_binders_com_10,mean_dwell_frames_com_10,f_site_com_12,kd_molar_com_12,n_events_com_12,n_binders_com_12,mean_dwell_frames_com_12,f_site_com_15,kd_molar_com_15,n_events_com_15,n_binders_com_15,mean_dwell_frames_com_15,f_site_com_20,kd_molar_com_20,n_events_com_20,n_binders_com_20,mean_dwell_frames_com_20
100ASO_all_purine_unmodified,./configs/100ASO_all_purine_unmodified.dat,./outputs/100ASO_all_purine_unmodified.lammpstrj,2101,1050.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9866730128510233,2.7439314612089483,7,analysis3/Kd_two_tier_100ASO_all_purine_unmodified.png,analysis3/Kd_two_tier_100ASO_all_purine_unmodified.txt,0.03664921465968586,1.0652704722114648,67,31,1.1492537313432836,0.06758686339838173,0.5589227242834747,126,44,1.1507936507936507,0.12184673964778676,0.2918274966641065,212,53,1.2358490566037736,0.25083293669681106,0.12078213205709719,423,66,1.3356973995271868
100ASO_extended_12mer_unmodified,./configs/100ASO_extended_12mer_unmodified.dat,./outputs/100ASO_extended_12mer_unmodified.lammpstrj,2001,1000.0,12,100,160.0,160.0,160.0,4.0960000000000004e-21,10,12,0.9105447276361819,1.6036981509245378,4,analysis3/Kd_two_tier_100ASO_extended_12mer_unmodified.png,analysis3/Kd_two_tier_100ASO_extended_12mer_unmodified.txt,0.018490754622688656,2.1515861919635855,33,20,1.121212121212121,0.03398300849575212,1.1520587605505177,59,26,1.152542372881356,0.07096451774112944,0.5303737752002446,112,36,1.3035714285714286,0.16391804097951024,0.20644716672442565,256,50,1.37890625
100ASO_extended_14mer_unmodified,./configs/100ASO_extended_14mer_unmodified.dat,./outputs/100ASO_extended_14mer_unmodified.lammpstrj,2001,1000.0,14,100,160.0,160.0,160.0,4.0960000000000004e-21,12,14,0.6306846576711644,0.8415792103948025,4,analysis3/Kd_two_tier_100ASO_extended_14mer_unmodified.png,analysis3/Kd_two_tier_100ASO_extended_14mer_unmodified.txt,0.009495252373813094,4.228712025073426,18,7,1.0555555555555556,0.015992003998001,2.4941672980338354,28,10,1.1428571428571428,0.031484257871064465,1.2467396403812432,52,14,1.2115384615384615,0.06946526736631684,0.5427032077820401,106,22,1.3396226415094339
100ASO_mismatch_G6A_unmodified,./configs/100ASO_mismatch_G6A_unmodified.dat,./outputs/100ASO_mismatch_G6A_unmodified.lammpstrj,2101,1050.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9414564493098525,1.8215135649690624,5,analysis3/Kd_two_tier_100ASO_mismatch_G6A_unmodified.png,analysis3/Kd_two_tier_100ASO_mismatch_G6A_unmodified.txt,0.03807710613993336,1.0237884580699788,60,22,1.3333333333333333,0.07044264635887673,0.534605955426195,112,29,1.3482142857142858,0.1575440266539743,0.21645111578329504,200,42,1.725,0.2908138981437411,0.09857789276088944,347,54,1.9164265129682998
100ASO_mismatch_U5C_unmodified,./configs/100ASO_mismatch_U5C_unmodified.dat,./outputs/100ASO_mismatch_U5C_unmodified.lammpstrj,2001,1000.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.8225887056471765,1.384807596201899,5,analysis3/Kd_two_tier_100ASO_mismatch_U5C_unmodified.png,analysis3/Kd_two_tier_100ASO_mismatch_U5C_unmodified.txt,0.02348825587206397,1.6850934175465144,43,13,1.1162790697674418,0.04097951024487756,0.9483800616608199,65,13,1.2769230769230768,0.09645177411294353,0.3794209709827605,142,26,1.4225352112676057,0.23238380809595202,0.1336063683053321,296,38,1.6891891891891893
100ASO_scrambled_unmodified,./configs/100ASO_scrambled_unmodified.dat,./outputs/100ASO_scrambled_unmodified.lammpstrj,2101,1050.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.8867206092336982,1.4550214183722037,5,analysis3/Kd_two_tier_100ASO_scrambled_unmodified.png,analysis3/Kd_two_tier_100ASO_scrambled_unmodified.txt,0.028557829604950024,1.3786912280688062,48,22,1.25,0.05188005711565921,0.7405199554096454,85,25,1.2941176470588236,0.12470252260828177,0.28420899875471783,196,34,1.3673469387755102,0.2760590195145169,0.1060229671907187,381,46,1.6167979002624673
100ASO_truncated_unmodified,./configs/100ASO_truncated_unmodified.dat,./outputs/100ASO_truncated_unmodified.lammpstrj,2101,1050.0,7,100,160.0,160.0,160.0,4.0960000000000004e-21,6,7,0.9990480723465016,2.592099000475964,7,analysis3/Kd_two_tier_100ASO_truncated_unmodified.png,analysis3/Kd_two_tier_100ASO_truncated_unmodified.txt,0.07044264635887673,0.534605955426195,118,44,1.2881355932203389,0.14278914802475012,0.24303632549846446,196,51,1.596938775510204,0.30414088529271777,0.09247470094215357,383,63,1.8198433420365536,0.6420752022846263,0.022454723101814913,617,78,2.627228525121556
100ASO_unmodified_AAtoCC,./configs/100ASO_unmodified_AAtoCC.dat,./outputs/100ASO_unmodified_AAtoCC.lammpstrj,2101,1050.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9700142789148025,2.059495478343646,6,analysis3/Kd_two_tier_100ASO_unmodified_AAtoCC.png,analysis3/Kd_two_tier_100ASO_unmodified_AAtoCC.txt,0.05711565920990005,0.6688895473240952,85,23,1.4470588235294117,0.11185149928605426,0.32155631365444837,166,32,1.4819277108433735,0.23369823893384103,0.13262566008165347,300,38,1.7366666666666666,0.4402665397429795,0.05131550593578676,560,50,1.9285714285714286
100ASO_unmodified_loop_GG_to_AA,./configs/100ASO_unmodified_loop_GG_to_AA.dat,./outputs/100ASO_unmodified_loop_GG_to_AA.lammpstrj,2101,1050.0,10,100,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9585911470728224,2.1389814374107567,6,analysis3/Kd_two_tier_100ASO_unmodified_loop_GG_to_AA.png,analysis3/Kd_two_tier_100ASO_unmodified_loop_GG_to_AA.txt,0.06473108043788672,0.585385192549563,83,27,1.6385542168674698,0.10233222275107091,0.3552694622275016,142,35,1.5352112676056338,0.17705854355069015,0.18809693427975588,246,48,1.5853658536585367,0.34174202760590194,0.07782342285185442,469,60,1.7334754797441365
200ASO_unmod,./configs/200ASO_unmod.dat,./outputs/200ASO_unmod.lammpstrj,2101,1050.0,10,200,220.0,220.0,220.0,1.0648e-20,8,10,0.9871489766777725,2.3288910042836743,6,analysis3/Kd_two_tier_200ASO_unmod.png,analysis3/Kd_two_tier_200ASO_unmod.txt,0.04902427415516421,0.604885248385458,78,24,1.3461538461538463,0.08186577820085673,0.3496609853515064,131,35,1.3740458015267176,0.1589719181342218,0.1648792276200425,251,47,1.4581673306772909,0.3469776297001428,0.05859946869227357,511,61,1.6712328767123288
25ASO_unmod,./configs/25ASO_unmod.dat,./outputs/25ASO_unmod.lammpstrj,2101,1050.0,10,25,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9224178962398858,1.418372203712518,5,analysis3/Kd_two_tier_25ASO_unmod.png,analysis3/Kd_two_tier_25ASO_unmod.txt,0.03426939552594003,0.28522864012148114,49,11,1.489795918367347,0.06949071870537839,0.13533943439943358,106,14,1.4056603773584906,0.17420276059019515,0.04771126139471791,215,14,1.744186046511628,0.3722037125178486,0.016840806890888817,437,20,1.9130434782608696
50ASO_unmod,./configs/50ASO_unmod.dat,./outputs/50ASO_unmod.lammpstrj,2101,1050.0,10,50,160.0,160.0,160.0,4.0960000000000004e-21,8,10,0.9733460257020466,1.8786292241789624,6,analysis3/Kd_two_tier_50ASO_unmod.png,analysis3/Kd_two_tier_50ASO_unmod.txt,0.03093764873869586,0.6345486405812901,56,23,1.1607142857142858,0.06520704426463589,0.2902174157857338,109,26,1.2568807339449541,0.1432651118514993,0.12087295613146802,221,28,1.407239819004525,0.3403141361256545,0.03902657664864351,489,38,1.6359918200408998
