time_ns,Pe
0.0,65.797361
0.09999999999999999,32.806962
0.19999999999999998,31.979313
0.3,31.391233
0.39999999999999997,32.597283
0.5,33.997658
0.6,27.422914
0.7,36.420479
0.7999999999999999,25.893873
0.8999999999999999,19.398034
1.0,10.286491
1.0999999999999999,18.638553
1.2,15.292045
1.3,9.6478729
1.4,13.645785
1.5,23.020778
1.5999999999999999,23.037261
1.7,19.747099
1.7999999999999998,10.392076
1.9,15.080093
2.0,14.388427
2.1,5.1968228
2.1999999999999997,16.168603
2.3,17.213202
2.4,12.272276
2.5,23.012955
2.6,21.900292
2.6999999999999997,30.655719
2.8,27.84957
2.9,29.114172
3.0,25.534693
3.0999999999999996,26.617351
3.1999999999999997,32.310457
3.3,30.16977
3.4,27.944277
3.5,29.442148
3.5999999999999996,31.193108
3.6999999999999997,27.648238
3.8,29.484908
3.9,22.831518
4.0,29.104771
4.1,30.573026
4.2,33.826873
4.3,29.185449
4.3999999999999995,24.783371
4.5,25.363249
4.6,14.460007
4.7,20.040642
4.8,23.292682
4.8999999999999995,8.0485901
5.0,7.2651299
5.1,5.2952871
5.2,7.9772589
5.3,10.82736
5.3999999999999995,9.8635375
5.5,-1.7794545
5.6,-13.651618
5.7,-3.5263243
5.8,-7.6661197
5.8999999999999995,-4.819266
6.0,5.6037139
6.1,-0.065913505
6.199999999999999,-8.6749414
6.3,-4.9967601
6.3999999999999995,6.6361357
6.5,1.339548
6.6,11.329842
6.699999999999999,3.8983892
6.8,11.498408
6.8999999999999995,17.439272
7.0,2.1727984
7.1,1.0640661
7.199999999999999,3.8537995
7.3,11.696445
7.3999999999999995,11.044033
7.5,18.702843
7.6,23.904292
7.699999999999999,15.008936
7.8,21.442774
7.8999999999999995,19.252845
8.0,7.44649
8.1,7.7636113
8.2,6.6555722
8.299999999999999,3.4559565
8.4,-7.4853977
8.5,-8.6146923
8.6,-9.5841685
8.7,4.4148681
8.799999999999999,-2.1161592
8.9,1.0358327
9.0,3.6276877
9.1,-5.0408783
9.2,7.9781284
9.299999999999999,5.0514778
9.4,-3.5419772
9.5,15.154947
9.6,4.7326961
9.7,10.866651
9.799999999999999,4.2934516
9.9,7.8591127
10.0,6.2506694
10.1,12.532507
10.2,3.665458
10.299999999999999,8.8929593
10.4,5.2549581
10.5,14.804079
10.6,-1.4799056
10.7,3.8169671
10.799999999999999,11.61646
10.9,6.931657
11.0,0.15982858
11.1,-2.1508896
11.2,8.0579396
11.299999999999999,8.5420165
11.4,19.418753
11.5,15.434133
11.6,15.675897
11.7,18.859787
11.799999999999999,15.299164
11.899999999999999,13.295244
12.0,14.175273
12.1,6.1223237
12.2,5.9411426
12.299999999999999,4.4683333
12.399999999999999,4.8462152
12.5,14.329
12.6,14.645181
12.7,13.446282
12.799999999999999,2.869684
12.899999999999999,9.2395304
13.0,2.4039513
13.1,-1.7445987
13.2,4.2713302
13.299999999999999,0.7308338
13.399999999999999,9.2008125
13.5,9.0131044
13.6,-8.5596115
13.7,-7.1599643
13.799999999999999,-1.7891745
13.899999999999999,-9.7795143
14.0,-0.95672152
14.1,-9.7619892
14.2,-6.6629065
14.299999999999999,-4.264604
14.399999999999999,12.585363
14.5,2.1827282
14.6,-20.820058
14.7,-14.007729
14.799999999999999,-5.3450112
14.899999999999999,2.8245115
15.0,4.9165993
15.1,6.7909496
15.2,5.8594225
15.299999999999999,5.4922371
15.399999999999999,-1.1583297
15.5,-12.198638
15.6,4.5110044
15.7,0.21804413
15.799999999999999,-3.4367325
15.899999999999999,-10.869627
16.0,-24.967645
16.099999999999998,-18.345469
16.2,5.3293187
16.3,5.2169438
16.4,-5.9674459
16.5,-4.1531308
16.599999999999998,-11.522075
16.7,-16.514613
16.8,-18.10388
16.9,-7.1889359
17.0,-16.575115
17.099999999999998,-17.06526
17.2,3.2837712
17.3,-11.487907
17.4,-4.1643762
17.5,-10.896657
17.599999999999998,-4.1939444
17.7,-4.5216094
17.8,-8.1071731
17.9,-5.6308115
18.0,-21.046872
18.099999999999998,-12.814537
18.2,-7.8767439
18.3,-15.793264
18.4,6.7352128
18.5,5.6521478
18.599999999999998,2.7794483
18.7,-7.1383608
18.8,3.7572226
18.9,-3.0040051
19.0,2.5854441
19.099999999999998,12.612161
19.2,8.7514412
19.3,9.7389355
19.4,12.232152
19.5,-3.7025511
19.599999999999998,7.5456425
19.7,13.407899
19.8,11.868044
19.9,6.9703519
20.0,1.0715471
20.099999999999998,1.273109
20.2,-10.402283
20.3,3.6956815
20.4,-3.1882932
20.5,-4.0174546
20.599999999999998,2.0857131
20.7,5.5985915
20.8,5.8828044
20.9,17.083517
21.0,17.71249
21.099999999999998,10.325867
21.2,12.076139
21.3,11.127091
21.4,-0.96955141
21.5,7.775425
21.599999999999998,-0.28422449
21.7,6.5359929
21.8,-8.4883068
21.9,-2.9803443
22.0,1.2085227
22.099999999999998,15.484485
22.2,9.4830804
22.3,7.0603672
22.4,12.449291
22.5,16.412737
22.599999999999998,12.547447
22.7,10.07915
22.8,19.89236
22.9,10.934334
23.0,-0.78479198
23.099999999999998,-3.7784786
23.2,0.15612882
