time_ns,Rg_reg,Rg_enh,dRg,RMSD_reg,RMSD_enh,dRMSD
0.0,224.8137432780004,224.8137432780004,0.0,210.7482680014729,210.7482680014729,0.0
0.5,67.4501527726899,131.12695485716034,63.67680208447044,56.639307290405625,117.12064485909627,60.48133756869065
1.0,47.71249567665623,122.56508550931213,74.8525898326559,41.67794096896484,109.11617551833284,67.43823454936799
1.5,56.484074042971024,109.76830137637442,53.2842273334034,50.30985845348938,95.17489004463287,44.86503159114349
2.0,47.54233331438753,88.95943343758393,41.4171001231964,42.38294978979852,74.33861817995394,31.955668390155417
2.5,43.034856693661474,82.73826196747149,39.70340527381001,44.49046645555215,67.20138832979822,22.71092187424607
3.0,44.68264493667239,53.29727828546563,8.614633348793241,44.32768148709294,42.48308968113325,-1.8445918059596877
3.5,35.551154894435896,46.02230508887987,10.471150194443972,39.888472446868,38.582129255466846,-1.3063431914011545
4.0,35.969266824594705,44.04074671506783,8.071479890473128,37.882388669217086,38.00386486585632,0.12147619663923592
4.5,38.09166052684939,44.52620849384194,6.434547966992554,36.75729510456507,34.24996106428784,-2.507334040277229
5.0,36.3592930714262,40.71369228460661,4.3543992131804075,37.76326161399879,33.27106198840872,-4.492199625590075
5.5,33.16741598120535,34.81325043731429,1.6458344561089362,36.51950656185066,31.03059581308934,-5.48891074876132
6.0,36.27096990833043,44.74982049935688,8.47885059102645,36.43450008633452,33.75523662332744,-2.679263463007082
6.5,34.12068580323174,47.52742969813861,13.406743894906874,37.35611706258556,38.825474652694574,1.4693575901090128
7.0,30.0350505835154,63.31720490006956,33.28215431655416,36.69322340254248,50.74058521121329,14.047361808670814
7.5,28.661582578423843,72.78432553337883,44.12274295495499,34.00284752454898,61.153483162378855,27.150635637829872
8.0,30.12150722737832,48.1216146188814,18.000107391503082,34.53734133077774,39.17789965423525,4.640558323457505
8.5,36.12370208161774,55.06815574092813,18.944453659310383,36.15047365866117,47.86002972267408,11.709556064012908
9.0,38.46224767431404,57.581062810661074,19.11881513634703,36.85676504232077,48.89659129602199,12.039826253701222
9.5,35.07994870183568,38.4379953889322,3.358046687096518,35.121666617016174,33.52397011105964,-1.5976965059565345
10.0,33.54429519072914,31.261886735528883,-2.2824084552002546,35.675928643233526,29.36588207532135,-6.3100465679121776
10.5,35.14790094207884,34.55849985529498,-0.5894010867838588,32.63590851582317,34.03829556223488,1.402387046411711
11.0,42.0261731492971,34.2049917131123,-7.821181436184801,40.52628531947491,31.30111497687533,-9.22517034259958
11.5,35.52790217295223,36.52904402044948,1.0011418474972515,36.74876794791698,31.061623417119915,-5.687144530797067
12.0,47.91146856328841,32.64951658883559,-15.26195197445282,44.17374484062545,30.694937033984917,-13.478807806640535
12.5,51.57811483704106,33.96623363019455,-17.611881206846512,48.10446970052152,31.04505561361877,-17.05941408690275
13.0,36.40851431887605,30.520582769622237,-5.887931549253814,35.332563061335,29.99748301326641,-5.3350800480685905
13.5,44.96629390750569,34.81589225106168,-10.150401656444004,43.15057589880203,32.82045662282896,-10.330119275973075
14.0,42.17038239763184,34.41266658663698,-7.75771581099486,41.264829634184736,34.42129016922729,-6.843539464957445
14.5,37.73923567421968,37.90909135391448,0.1698556796947983,38.70413245143492,34.929705164774084,-3.7744272866608384
15.0,41.43923776388641,33.43867492027243,-8.000562843613977,39.279380607939,27.69607564323493,-11.583304964704066
15.5,41.19831536787324,31.77575050537468,-9.422564862498561,39.87038520619273,30.270541709990223,-9.599843496202507
16.0,40.661350738299205,29.189078933019463,-11.472271805279743,40.27385458445072,29.532191584599563,-10.741662999851155
16.5,42.01579176897038,35.14408168367401,-6.871710085296371,39.391148211674135,33.47072684247942,-5.920421369194713
17.0,41.10445759245402,36.05647440159475,-5.04798319085927,38.892454549927365,36.155696853213975,-2.73675769671339
17.5,38.37673043167,33.04432238092146,-5.3324080507485405,36.56052680050493,31.048306315713123,-5.512220484791808
18.0,31.92279353921648,35.160736484717674,3.2379429455011923,32.928782594402925,31.636426821559997,-1.292355772842928
18.5,45.309526946536586,33.31595194215627,-11.993575004380318,43.495445602950426,29.43800087154571,-14.057444731404715
19.0,38.09637303529418,33.91250873173791,-4.18386430355627,34.93252009206342,30.470130039561223,-4.462390052502197
19.5,36.05706300287683,30.77760771197505,-5.27945529090178,34.25270210833079,26.011388183567185,-8.241313924763602
20.0,43.187246461482296,32.3774910718693,-10.809755389612995,39.14726485710332,28.712490221867096,-10.434774635236227
20.5,33.06701051860337,29.17123605629084,-3.895774462312527,33.274915296701415,29.93126362487348,-3.343651671827935
21.0,37.66860394882802,39.937839955570695,2.2692360067426733,37.78257845298848,33.470444654390754,-4.312133798597728
21.5,37.144441702283245,35.20072546323315,-1.9437162390500973,35.71841873014339,33.30521099511823,-2.4132077350251606
22.0,41.91938458498397,31.544943544903656,-10.374441040080317,39.94886179524738,30.534348851031915,-9.414512944215467
22.5,43.14485094294382,30.14590767262635,-12.998943270317469,39.81015452702901,26.7394742415157,-13.070680285513312
23.0,33.641425710327844,31.1566211606724,-2.4848045496554434,34.549447590328384,35.87449923063977,1.3250516403113863
23.5,33.19157089642277,37.5879756545362,4.396404758113434,32.31906782701302,35.798802514400975,3.4797346873879533
24.0,42.93996992650512,36.91591179423134,-6.02405813227378,40.425532973182754,36.74070706178112,-3.6848259114016315
24.5,28.26681997390884,40.51363449832644,12.246814524417598,31.82906766207876,35.94067702175544,4.111609359676681
25.0,39.21696749175986,30.291837919722436,-8.925129572037424,37.93422286398413,32.22370807428665,-5.710514789697484
25.5,33.80326395754688,35.5287657158602,1.725501758313321,32.967742579948506,35.2012248610945,2.233482281145996
26.0,32.6803403129981,30.898533697353614,-1.7818066156444843,31.5611663139588,30.576140297383752,-0.9850260165750484
26.5,38.86998138739378,35.406466216197224,-3.463515171196555,36.24310536595058,36.24569465039032,0.0025892844397361614
27.0,36.541674519383,34.64633776913458,-1.8953367502484184,34.20850707127173,33.49579157031082,-0.7127155009609112
27.5,41.59008172049876,33.245515320620484,-8.344566399878275,40.74924064720812,30.193925852375703,-10.555314794832416
28.0,42.70908947049923,35.60057393799761,-7.10851553250162,35.9642049600982,34.67368152633512,-1.2905234337630773
28.5,45.69685110015551,40.31325331111508,-5.383597789040429,40.12136958860286,38.22299232059264,-1.898377268010222
29.0,41.288883866262864,35.71226700696971,-5.5766168592931535,38.99721378325758,29.374832968424883,-9.622380814832695
29.5,41.23073985069157,33.390456597340325,-7.840283253351245,36.796033867883736,30.674591519424208,-6.121442348459528
30.0,34.03237571855835,31.28602800978721,-2.7463477087711397,33.506022681556054,32.25664619460503,-1.2493764869510215
30.5,40.30550544608506,32.03366611584616,-8.271839330238898,37.1494709029144,32.99604409072505,-4.153426812189352
31.0,35.11264122376667,32.51384775593558,-2.5987934678310936,36.63531556122,34.68972716033633,-1.9455884008836648
31.5,42.9494162130411,31.818860963042624,-11.130555249998473,39.46440773303883,33.89402051812137,-5.57038721491746
32.0,41.36886779910216,30.236992957863524,-11.131874841238638,39.40476860772115,32.495013301512344,-6.909755306208808
32.5,43.88541029550568,35.19704434525678,-8.688365950248901,41.38022123276873,33.57465374847396,-7.8055674842947695
33.0,36.85052338601634,31.05283314077993,-5.79769024523641,35.18743384838087,34.291783177061376,-0.895650671319494
33.5,38.229398118512925,30.27701407051072,-7.952384048002205,38.33463598237692,35.97156333439851,-2.363072647978413
34.0,41.181150360211255,31.34288038739197,-9.838269972819287,38.68489851540016,35.694329949647816,-2.9905685657523406
34.5,29.922507888224025,33.28184286615728,3.3593349779332513,31.76259393595381,36.63688108862118,4.874287152667371
35.0,32.00348705923298,31.159798776532103,-0.843688282700878,33.799895412158484,35.93015250671177,2.1302570945532864
35.5,33.55220927092211,31.64548971472464,-1.9067195561974728,36.17760703472828,35.4979425053792,-0.6796645293490826
36.0,31.083990910442544,32.31810605560832,1.2341151451657737,34.10011673103114,31.404129756640703,-2.69598697439044
36.5,31.48405982242289,31.511837539289235,0.027777716866346225,33.415342984837025,31.350864899228597,-2.064478085608428
37.0,30.83192792231719,30.84356724760824,0.011639325291053382,36.08221187929741,31.717187832470373,-4.365024046827038
37.5,31.646737124394697,30.826697338230375,-0.8200397861643225,35.8104723733024,31.923792989346097,-3.886679383956306
38.0,30.530773722777948,33.65047752939271,3.119703806614762,35.532292077995336,30.150848126376097,-5.381443951619239
38.5,36.060426256678994,34.46418665613144,-1.5962396005475554,38.65904650725098,32.54591251988685,-6.1131339873641295
39.0,29.214369503416208,31.182473069184965,1.9681035657687573,33.81343751503956,30.88706736686561,-2.926370148173948
39.5,31.434457916995665,32.089547469089766,0.6550895520941005,33.5540569260116,33.158585433549646,-0.3954714924619509
40.0,30.131626503469143,32.71979566043386,2.5881691569647174,35.64558334251605,33.41148202371032,-2.2341013188057275
40.5,29.689650991283703,27.263285907402587,-2.426365083881116,33.22619445913598,29.166660475524463,-4.059533983611519
41.0,28.25301570001224,27.98996047489024,-0.2630552251220024,32.726901787233935,28.48639253961196,-4.240509247621976
41.5,33.09079157048606,31.53170867394326,-1.559082896542801,37.15788951033456,31.291263692861733,-5.86662581747283
42.0,30.336373713963965,36.43831008840053,6.101936374436562,35.47760990992979,33.30303765190705,-2.1745722580227422
42.5,33.46226343197194,36.588881260367565,3.1266178283956236,37.49133938103686,31.86932587025045,-5.6220135107864095
43.0,31.27857539002101,38.81672919156875,7.538153801547736,35.42093730567787,34.56923516880591,-0.8517021368719568
43.5,33.21493250765221,35.117420648921744,1.9024881412695365,36.25062533369221,33.00316686439198,-3.247458469300234
44.0,32.557628455595726,32.51944731890722,-0.03818113668850742,33.97418072916959,30.59582342259707,-3.378357306572518
44.5,31.61789562475064,33.56490551877002,1.9470098940193772,34.568532210792505,31.565613692973024,-3.002918517819481
45.0,33.09061909877684,32.63070484606081,-0.4599142527160325,33.15349304449834,34.32412305093092,1.1706300064325816
45.5,32.09687735911394,31.50972298581257,-0.5871543733013702,35.11807166783719,36.18060431691206,1.0625326490748677
46.0,32.63826503451274,30.50348908527712,-2.134775949235621,34.422360976943374,33.86678307455019,-0.5555779023931819
46.5,33.67199383706237,40.74875539300241,7.076761555940045,35.53961715255567,33.70700416248729,-1.8326129900683839
47.0,29.713514338523048,60.39993946755642,30.686425129033374,29.644632148615795,46.721168779242426,17.07653663062663
47.5,28.89929291382692,53.657527750711566,24.758234836884647,33.288729949528964,43.22457072808886,9.935840778559893
48.0,34.1145394692797,69.31729130144657,35.202751832166875,35.64165233891314,57.51683991308688,21.875187574173744
48.5,30.980147916365343,65.29732752147925,34.31717960511391,35.256477375042124,51.43148930961412,16.175011934571998
49.0,35.1610910876904,63.702701287624,28.5416101999336,36.027967027451815,47.642927358570645,11.61496033111883
49.5,36.747332765426655,48.466714124416576,11.71938135898992,33.20893330915054,40.50526039248051,7.29632708332997
50.0,36.90170460202572,62.46759661945091,25.565892017425192,36.35259418315608,48.72966573069521,12.377071547539131
50.5,30.00515423493112,84.53191837165694,54.526764136725824,32.38760264793135,69.48186640351604,37.094263755584684
51.0,36.95138840043777,63.261819401518295,26.310431001080524,35.85453672166145,49.63328959270231,13.778752871040865
51.5,37.80471594741087,43.12067239934812,5.315956451937254,36.0420350248728,35.71111951389946,-0.33091551097334104
52.0,46.47111676915428,33.17971173963203,-13.291405029522245,43.14848531034598,32.928610362226166,-10.219874948119816
52.5,39.140028460379554,53.27415745126499,14.134128990885436,38.06474438345595,43.67851887957435,5.6137744961183955
53.0,40.47014099610403,42.92777284112619,2.4576318450221635,38.654162087905526,32.00881898552497,-6.645343102380558
53.5,37.27053124927622,59.42574707046948,22.15521582119326,37.22908108767107,48.756688861070266,11.527607773399197
54.0,34.268912141503264,52.9424143312553,18.673502189752035,36.24543355846614,45.69459971107503,9.449166152608889
54.5,31.816185025186947,79.6441151645047,47.82793013931775,35.796908645750406,63.72568050388907,27.928771858138667
55.0,33.9662797876916,59.07884969781317,25.11256991012157,36.26523756921512,48.11543799989353,11.850200430678413
55.5,32.970372896432025,50.87995951367834,17.909586617246312,36.56478763886618,40.96160409923544,4.3968164603692586
56.0,35.21974035693352,75.66170839399174,40.441968037058224,37.70584367954387,65.18981232750227,27.4839686479584
