time_ns,Pe_reg,Pe_enh,dPe
0.0,80.875924,80.875924,0.0
0.0999999999999999,37.591508,32.304438,-5.28707
0.1999999999999999,36.120126,29.729414,-6.390712000000001
0.3,39.67687,38.010697,-1.6661730000000006
0.3999999999999999,26.212022,30.736323,4.524300999999998
0.5,27.289136,31.347346,4.0582100000000025
0.6,14.614061,42.264624,27.650563
0.7,9.7894864,33.277161,23.4876746
0.7999999999999999,-1.9647124,42.392463,44.3571754
0.8999999999999999,-14.985966,33.072719,48.058685
1.0,-6.5467927,27.778514,34.3253067
1.1,-15.793956,32.544837,48.338793
1.2,-20.391036,28.412076,48.803112
1.3,-11.595872,16.963351,28.559223
1.4,-4.7671039,8.1456571,12.912761
1.5,9.4221559,13.33461,3.9124540999999997
1.6,-1.8715566,18.558568,20.4301246
1.7,7.1194445,12.233686,5.1142415
1.7999999999999998,6.8703132,9.9705511,3.1002378999999998
1.9,-6.8103397,14.346128,21.1564677
2.0,11.086173,12.679412,1.5932389999999987
2.1,12.102324,5.7809891,-6.321334899999999
2.2,17.275718,19.997173,2.721454999999999
2.3,15.92602,22.978535,7.052515000000001
2.4,17.914063,20.316902,2.402839
2.5,9.8672342,25.903606,16.036371799999998
2.6,-4.7962219,17.197086,21.993307899999998
2.7,0.60103489,14.450763,13.849728110000001
2.8,9.3541938,19.977358,10.6231642
2.9,10.305722,12.480257,2.1745350000000006
3.0,9.3156004,13.327409,4.0118086
3.1,3.8496039,15.154711,11.3051071
3.2,3.275823,18.69679,15.420967000000001
3.3,-4.5355632,19.4697,24.0052632
3.4,-4.6336141,7.5697803,12.2033944
3.5,-7.2049237,13.82846,21.0333837
3.6,-4.0564518,4.57792,8.6343718
3.7,-8.6476374,-25.486006,-16.8383686
3.8,-5.7757543,-11.677522,-5.9017677
3.9,-13.535599,-14.693558,-1.157959
4.0,-27.85579,-26.276281,1.579508999999998
4.1,-16.07975,-33.327888,-17.248138
4.2,-19.637495,-15.345243,4.292252000000001
4.3,-17.630454,-13.731455,3.898999
4.4,-11.182421,-13.651727,-2.4693059999999996
4.5,-19.713525,-22.840551,-3.1270260000000007
4.6,-21.222245,-20.275497,0.9467479999999995
4.7,-32.379445,-31.374838,1.0046069999999965
4.8,-32.86795,-16.228901,16.639049
4.9,-19.26984,-11.309724,7.960115999999999
5.0,-12.819733,-16.352535,-3.532802
5.1,-5.340886,-19.953575,-14.612689
5.2,-12.309251,-24.053034,-11.743783
5.3,-21.830603,-15.114408,6.716195000000001
5.4,-19.661088,-29.327568,-9.66648
5.5,-20.070191,-24.548462,-4.4782709999999994
5.6,-28.112956,-25.015759,3.0971970000000013
5.7,-17.863633,-16.75632,1.1073130000000013
5.8,-27.740287,-10.328876,17.411411
5.9,-29.095239,-19.273954,9.821285
6.0,-22.109802,-18.118048,3.9917539999999967
6.1,-33.746357,-17.433669,16.312688000000005
6.199999999999999,-28.888199,-15.06891,13.819289
6.3,-31.122502,-9.1611944,21.9613076
6.4,-25.41526,-6.6260591,18.7892009
6.5,-23.830338,-18.768948,5.061389999999999
6.6,-21.528083,-5.2319171,16.2961659
6.699999999999999,-16.718094,-2.4460394,14.2720546
6.8,-26.248879,-2.7949043,23.4539747
6.9,-10.430223,-12.478117,-2.0478939999999994
7.0,-12.935057,-7.6474609,5.287596100000001
7.1,-15.85308,-28.529715,-12.676635
7.199999999999999,-12.069042,-16.025263,-3.9562209999999993
7.3,-25.67933,-34.737482,-9.058152
7.399999999999999,-26.487901,-22.442681,4.0452200000000005
7.5,-27.822318,-11.443229,16.379089
7.6,-20.066951,-18.295008,1.7719430000000003
7.699999999999999,-20.092997,-14.883447,5.20955
7.8,-32.947087,-21.464617,11.482470000000003
7.899999999999999,-26.57591,-21.878956,4.696954000000002
8.0,-27.393404,-27.686894,-0.2934899999999985
8.1,-24.651977,-40.862315,-16.210338000000004
8.2,-29.407323,-37.175561,-7.768238
8.299999999999999,-19.624711,-41.056611,-21.431899999999995
8.4,-26.159907,-37.126708,-10.966801
8.5,-24.744572,-24.417707,0.3268650000000015
8.6,-41.57435,-25.701354,15.872996000000004
8.7,-32.884511,-32.669163,0.21534800000000587
8.799999999999999,-25.45602,-27.884511,-2.428491000000001
