time_ns,Pe_reg,Pe_enh,dPe
0.0,135.70706,135.70706,0.0
0.0999999999999999,67.32518,50.829797,-16.495383000000004
0.1999999999999999,59.112089,47.932375,-11.179713999999997
0.3,48.333095,63.957667,15.624572
0.3999999999999999,44.129455,62.357556,18.228101000000002
0.5,32.980838,53.159361,20.178523
0.6,38.209467,48.24012,10.030653000000001
0.7,18.626016,44.047525,25.421509
0.7999999999999999,40.560347,41.122278,0.5619310000000013
0.8999999999999999,28.490563,18.11719,-10.373373
1.0,21.666806,10.846113,-10.820693
1.1,28.155854,1.607297,-26.548557000000002
1.2,12.961618,8.6429809,-4.3186371
1.3,-7.7502825,10.911423,18.6617055
1.4,-15.665349,-13.877605,1.787744
1.5,-16.165842,-12.533072,3.6327700000000007
1.6,-4.4296502,-15.154817,-10.7251668
1.7,-14.4065,-22.212515,-7.806015
1.7999999999999998,-26.157971,-24.351806,1.806165
1.9,-24.683403,-34.016952,-9.333549000000005
2.0,-3.0302086,-31.571089,-28.5408804
2.1,-0.38294893,-9.1515503,-8.76860137
2.2,-11.622493,-19.079751,-7.457258000000001
2.3,-0.88415986,-6.1800719,-5.295912039999999
2.4,6.8310903,-15.753576,-22.584666300000002
2.5,3.1158172,-24.954359,-28.0701762
2.6,7.287274,-18.674622,-25.961896
2.7,3.2455066,-25.67235,-28.9178566
2.8,-17.338266,-14.296138,3.0421280000000017
2.9,-5.4136416,-1.4379745,3.9756671
3.0,-6.3041775,-4.0720348,2.2321427
3.1,0.65009658,-8.0646733,-8.71476988
3.2,12.409769,-7.8867079,-20.296476900000002
3.3,1.1514503,-6.8861017,-8.037552
3.4,0.087270217,-9.3507757,-9.438045917
3.5,12.370775,-1.9526599,-14.3234349
3.6,5.6232904,-1.5535395,-7.1768299
3.7,0.98900981,-5.7687117,-6.75772151
3.8,12.533165,-6.6127835,-19.1459485
3.9,9.7406129,-17.656648,-27.3972609
4.0,-8.2068196,-6.5322463,1.6745732999999996
4.1,-0.92080101,-6.6775294,-5.75672839
4.2,-31.088795,-19.090332,11.998463000000001
4.3,-31.697495,-11.13283,20.564664999999998
4.4,-35.5937,-41.888436,-6.294736
4.5,-20.403629,-23.743513,-3.3398840000000014
4.6,-12.005317,-29.704473,-17.699156000000002
4.7,-20.649754,-28.614222,-7.964468
4.8,-29.114316,-26.549863,2.5644530000000003
4.9,-9.1646098,-30.238685,-21.074075200000003
5.0,-24.739222,-31.397773,-6.658550999999999
5.1,-18.655434,-17.887335,0.7680989999999994
5.2,-11.924664,-7.6212072,4.3034568
5.3,-7.1763884,-27.11273,-19.9363416
5.4,-6.1430127,-25.396292,-19.2532793
5.5,-25.571705,-43.988323,-18.416618
5.6,-16.914735,-50.998289,-34.083554
5.7,-12.108818,-59.447909,-47.339091
5.8,-13.88324,-44.288801,-30.405561
5.9,-13.803877,-52.104639,-38.300762
6.0,-13.723637,-47.714639,-33.991001999999995
6.1,-14.998987,-24.374578,-9.375591
6.199999999999999,-7.5554922,-30.255029,-22.6995368
6.3,-18.454108,-26.662903,-8.208794999999999
6.4,-11.0705,-33.725416,-22.654916000000004
6.5,4.0538021,-17.204299,-21.258101099999998
6.6,-25.303819,-36.490333,-11.186513999999999
6.699999999999999,-32.46605,-17.122148,15.343902000000003
